time;L_T;MB_DMM;MB_instant_DMM;MB_BDMM;Lambda
59;1,02;11,65592924;10,6798429;12,53678175;0,002
72;0,26;11,06686083;10,05601791;18,07287942;0,002
84;0,24;36,36363636;36,36363636;19,19946473;0,002
123;0,78;16,03477425;38,94555497;4,245976687;0,002
140;0,34;87,72727273;87,72727273;21,5154316;0,002
291;3,02;62,09615361;5;19,32153765;0,002
344;1,06;7,119751569;8,734690561;17,90949748;0,002
462;2,36;75;75;6,07612307;0,002
471;0,18;25;25;13,7637534;0,002
