"time";"L_T";"MB_DMM";"MB_instant_DMM";"MB_BDMM"
59;1,02;6,65592924216411;12,0434792637116;12,1066667608082
72;0,26;11,0668608272742;10,0560179075461;16,7732941845743
84;0,24;8,05488204593167;4,52410469608005;17,0090157802092
123;0,78;6,94386515791857;29,8546458779821;8,24019709235955
140;0,34;8,25277700727525;19,8118886572083;25,4823853766672
291;3,02;48,4597899762153;28,2146516157497;20,4609704735571
344;1,06;7,57429702326884;5,55287237902162;19,1718496970829
462;2,36;13,5763298304082;13,8737822179547;5,18964307560548
471;0,18;8,18181818181818;8,18181818181818;13,2414861893452
