"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[3,4]",-0.0474980557958875,-0.0496754,0.222848447066543,0.220336599,-0.4162177,0.31764685,0.999830109027364,7383.28029874211,7233.5685315749
"lambda[1]",0.026996075475,0.02698995,0.00100864770009349,0.00100586997,0.025332065,0.02865943,0.999801357706728,7038.50342959316,6553.78997454057
"lambda[2]",0.0269961725625,0.0269838,0.000990802408102858,0.0009926007,0.025383665,0.02864595,1.0002714780664,7340.33742543441,7034.31905609241
"lambda[3]",0.0268206468375,0.0267997,0.000986846981525311,0.0009874116,0.025218465,0.02847597,0.999853828032419,7462.98401988469,7120.00167004525
"lambda[4]",0.0190090999625,0.0189887,0.00100214468698036,0.00100105152,0.017382275,0.020696145,1.00095391068254,7161.59773933464,6580.05559487095
"lambda[5]",0.0189886967625,0.0189723,0.00100086015273935,0.00100920582,0.01738378,0.020661325,1.0000114297813,7135.1311270006,6684.47839266257
"lambda[6]",0.0190090963,0.01898845,0.00100964518096718,0.00103730109,0.017381675,0.020703505,1.00050998662473,7448.39114270259,7145.80102107356
"lambda[7]",0.01098929023625,0.01096025,0.00100756709016693,0.00101943576,0.009394197,0.01266401,1.00015468105321,7051.73150744663,6596.048386699
"lambda[8]",0.0110081602725,0.010975,0.000985568504067704,0.00097762644,0.0094590145,0.01266644,1.000868794588,6924.59590740244,6751.54561776485
"lambda[9]",0.0108332561125,0.01079645,0.000968670992842866,0.00096554325,0.0093220365,0.012489645,1.00015533507905,7310.52545566669,6608.72043893451
"lambda[10]",0.0039799480575,0.00390553,0.0009902250873379,0.0009659139,0.0024903395,0.0056920185,1.00045246137921,7127.08184239326,6271.15056402137
"lambda[11]",0.00400792662875,0.003937715,0.000977270647341637,0.000975343236,0.002539356,0.005735255,0.999995212097351,7249.66168335443,6548.87181275393
"lambda[12]",0.00374549289375,0.003662255,0.000924079580041078,0.000895438509,0.00237571,0.0053871195,1.00049306017853,6970.52780860036,6959.34263931698
"lambda[13]",0.0089819174775,0.008945425,0.000990952024089924,0.000987656229,0.007408644,0.01068891,1.00064297023603,7276.15544815351,6595.18614504915
"lambda[14]",0.00898028477625,0.008955245,0.000988378766223159,0.00100705605,0.0074031775,0.01062131,1.00023734513185,7133.01340660995,7180.55123167395
"lambda[15]",0.0088719625,0.008826645,0.000974502671186305,0.000959123592000001,0.0073394915,0.010565005,0.999849320652768,6976.94649919483,7320.64272690624
"lambda[16]",0.0140089353375,0.01398615,0.00098602053830169,0.000985929,0.012424595,0.01562806,1.00052109390669,7595.10853578575,7147.37648487843
"lambda[17]",0.0139981192625,0.013992,0.000995885828524353,0.000981629459999999,0.012417895,0.015677075,1.00029219581416,7081.44211257756,6691.54419113862
"lambda[18]",0.0143146087375,0.01428975,0.000990451778238362,0.00099882762,0.0127065,0.015950955,1.00007499611387,7564.12880338946,7203.09973307496
"lambda[19]",0.0139865769375,0.01398125,0.000995167968814883,0.00100735257,0.01240938,0.01564145,1.00035795208744,7456.71794556271,6949.23178576118
"lambda[20]",0.013996875625,0.0139601,0.00100235196194765,0.00100283064,0.012405785,0.015657025,1.00008502524202,7707.68359590644,7179.28388714264
"lambda[21]",0.0139942447,0.01395865,0.000979511429047341,0.00096969453,0.012395285,0.015659715,1.00012098298242,7283.20910727354,7023.24835801635
"s1[1,1]",-15.1643048875,-15.16465,0.389457775345684,0.38643969,-15.80743,-14.52396,1.00034572813946,7542.49613128715,7168.16736710886
"s1[2,1]",-15.162159925,-15.15595,0.390598447702257,0.39207357,-15.81661,-14.533885,0.999916535935124,7211.08780770724,6553.720992178
"s1[3,1]",-15.1669852,-15.1664,0.38356397483511,0.3847347,-15.799545,-14.54769,1.00026263404387,7489.0054035984,7148.27044506934
"s1[4,1]",-17.237852775,-17.24055,0.836736750019624,0.851827830000001,-18.594205,-15.84349,1.00000425215521,7517.51089624546,7320.82523744658
"s1[5,1]",-17.2029018,-17.2059,0.871475529948588,0.875845950000002,-18.655925,-15.77727,1.00000959511897,6971.53080315762,6871.49328277004
"s1[6,1]",-17.0546266125,-17.0519,0.802719256789805,0.808610040000001,-18.385285,-15.74008,1.00019657929641,7420.26061560624,7219.31117563266
"s1[7,1]",-14.8431674125,-14.84875,0.720368479968878,0.713575380000001,-16.02642,-13.650295,1.00021767849074,7467.23890281939,6694.25831250097
"s1[8,1]",-15.04406175,-15.04305,0.858835854983456,0.86391102,-16.46716,-13.622295,1.00028436855652,7435.46354335149,6991.56757051965
"s1[9,1]",-15.686322725,-15.6819,0.793262684657127,0.797194020000001,-16.99424,-14.373685,1.00062543632163,7286.98054286712,7132.51161158263
"s1[10,1]",-17.428970425,-17.43085,0.490182534804636,0.481177830000003,-18.227435,-16.61704,1.00019354683477,7144.30857288141,6781.43708706619
"s1[11,1]",-17.1763759875,-17.1706,0.506839339262579,0.505640730000001,-18.00706,-16.3503,1.00025526139997,7518.51756933949,7106.00758985895
"s1[12,1]",-17.128247225,-17.1225,0.492403735518064,0.492371460000001,-17.946205,-16.325395,1.00034951520596,7047.65229621329,6650.00654689163
"s1[13,1]",-19.41654885,-19.42265,0.411253385024992,0.40348959,-20.094735,-18.74234,1.00047708953464,7172.44468297634,6984.37089276673
"s1[14,1]",-19.4435938,-19.44505,0.422107763917705,0.418686239999999,-20.127235,-18.745245,1.00062245359437,7460.78945933778,7017.14299628872
"s1[15,1]",-19.4032118,-19.41155,0.40658183907086,0.412829970000002,-20.054945,-18.7158,1.00003408033539,7215.03975546246,7039.30828677006
"s1[16,1]",-20.0994516625,-20.0997,0.0702719949118759,0.0693115499999991,-20.216105,-19.982995,1.00005562243812,7604.82645848465,6970.14727178535
"s1[17,1]",-20.0992502125,-20.0994,0.0695711271302335,0.0692374200000019,-20.21071,-19.9851,1.00049031637173,7214.13383517362,6537.24961212716
"s1[18,1]",-20.094338,-20.0938,0.0703353323257356,0.0708682799999981,-20.209305,-19.979995,1.00012599167087,7244.88121203151,6705.77801904371
"s1[19,1]",-16.5901690125,-16.5895,0.126007961660464,0.12439014,-16.7978,-16.38579,0.999875147476983,7369.0748198121,7044.08027075178
"s1[20,1]",-16.607912875,-16.60715,0.129117952091986,0.128912070000002,-16.824205,-16.3982,0.999985549217178,7225.27729643135,6425.19736976729
