"X1.lambda","X2.lambda","X3.lambda","X4.lambda"
0.078181002,0.086083404,0.067934722,0.079761602
0.085522564,0.082770118,0.068108134,0.069632333
0.076009341,0.059067847,0.061993397,0.081466789
0.088333135,0.093455726,0.063601917,0.069776216
0.077357659,0.05629731,0.057269995,0.087895096
0.081635163,0.083750497,0.088541834,0.073608742
0.068592749,0.057399101,0.069907997,0.068458901
0.071285801,0.082046042,0.072496997,0.074475241
0.064748983,0.074043092,0.06358947,0.070137531
0.08237364,0.066554544,0.076719428,0.060051014
0.092291864,0.073891277,0.066292407,0.084417364
0.058605005,0.077670572,0.069949371,0.07087785
0.08806751,0.053369345,0.062114814,0.074541278
0.066905455,0.1010693,0.087778494,0.072992443
0.079761922,0.060210499,0.080970767,0.078546763
0.063625231,0.058795133,0.068186184,0.076268216
0.068096431,0.066852924,0.08362931,0.071383501
0.073195213,0.070171352,0.080300806,0.064602069
0.082035101,0.088441772,0.066309172,0.064574854
0.072982863,0.06342353,0.069251498,0.065619232
0.058228142,0.074373567,0.10009088,0.083844926
0.077265171,0.090645409,0.05911972,0.097183227
0.068712901,0.060421996,0.10998023,0.061787174
0.077924667,0.057104379,0.091709908,0.067644615
0.08091011,0.061477375,0.058633307,0.080470021
0.06716675,0.10566895,0.066314151,0.08104118
0.07966576,0.098561365,0.060890925,0.084203933
0.063788699,0.079989834,0.080384723,0.083082178
0.065407075,0.08765736,0.063662685,0.069487746
0.093144822,0.092013454,0.07242361,0.067493103
0.09409791,0.062023915,0.073715411,0.066002363
0.099674342,0.06175623,0.054501485,0.092157976
0.065075543,0.075815361,0.075013925,0.054659462
0.08608733,0.073817376,0.061445803,0.099274819
0.079958846,0.082437021,0.06104198,0.061263793
0.054300786,0.079977882,0.087832403,0.067876444
0.094684552,0.086969671,0.061006911,0.097629452
0.091108381,0.062133575,0.07621926,0.07242311
0.077680966,0.076918961,0.0830486,0.074157342
0.07692264,0.060160946,0.065907185,0.069042166
0.072395843,0.064177829,0.070965935,0.069677283
0.079360762,0.075994175,0.062666355,0.082090767
0.059045937,0.071591687,0.056041697,0.061634316
0.07383343,0.078441154,0.095090794,0.077047261
0.0715393,0.058540214,0.06351034,0.070641541
0.07056115,0.1170483,0.1023689,0.064795611
0.05790001,0.045473219,0.059510075,0.061349228
0.066147425,0.049238045,0.075774957,0.084491776
0.062617493,0.094332414,0.064409294,0.073646822
0.093567933,0.061592982,0.07821211,0.067067295
0.063467336,0.080866664,0.075916523,0.070497196
0.071826243,0.078746769,0.065724064,0.075100106
0.081605263,0.061918656,0.092303842,0.063935257
0.078157131,0.083175653,0.061607586,0.078815263
0.072218993,0.072707305,0.078088036,0.077313201
0.0936583,0.081328626,0.078987646,0.082391119
0.054839285,0.063637768,0.080952731,0.059115079
0.069544308,0.07713294,0.075610036,0.083967541
0.071934225,0.079494029,0.074504363,0.057083866
0.064247865,0.095365929,0.070856143,0.080569249
0.054509853,0.079825425,0.063181626,0.06928827
0.057347651,0.070679302,0.087348474,0.084035709
0.083028892,0.070698764,0.094873199,0.061361256
