time;L_T;MB_DMM;MB_instant_DMM;MB_BDMM;Lambda
59;1,02;26,52588894;42,49802472;32,16005296;0,2
72;0,26;29,70322446;28,69238154;34,07895433;0,2
84;0,24;20,32760932;16,79683197;30,8174973;0,2
123;0,78;12,27272727;26,6728277;11,14078304;0,2
140;0,34;19,16186792;30,72097957;32,0611459;0,2
291;3,02;42,09615361;35,48737889;23,04945129;0,2
344;1,06;14,39247884;4,901673076;18,98945926;0,2
462;2,36;8,57632983;18,87378222;14,25546889;0,2
471;0,18;16,30768063;11,92950163;2,483582472;0,2
