"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-1140.321446275,-1140.05,27.1925484016984,26.5733069699998,-1186.431995,-1096.35258,1.00079537278373,1656.23760196419,2280.84538521214
"y0[1]",-10.934594771925,-10.940961,0.651177709061583,0.6505248498,-12.004695,-9.867970745,1.00045636407716,4101.45453256684,3497.63460350141
"y0[2]",10.243163051175,10.2396035,0.317394134573576,0.314026540800001,9.733336625,10.77515325,1.00043284156837,3885.81430824623,3157.41691131007
"sigma[1]",1.60431259475,1.60113865,0.0735578339996927,0.0725451006000001,1.490723975,1.73034513,1.00183935386036,6938.94870568053,2545.64354941136
"sigma[2]",0.8014796597675,0.800156535,0.0365032331837842,0.0365505378000001,0.744055621,0.8634066985,1.00088640760909,5150.35907631697,2734.22540852841
"beta_raw[1,1]",2.02648288938356,1.97667775,0.781952340379997,0.77420801199,0.830034785,3.40596909,1.00029396806323,2852.19253601582,2837.40745515427
"beta_raw[2,1]",4.3955199807,4.3418189,0.771786411817705,0.758118688530001,3.1688322,5.750475385,1.00002949827846,2925.07512164706,2696.69596770302
"beta_raw[1,2]",0.302795539121415,0.302619165,0.578270858820029,0.5832011320737,-0.64219072,1.261757175,0.999989935262261,3095.62746221546,2914.61280122241
"beta_raw[2,2]",-0.203034269618243,-0.188567785,0.612697053155218,0.598979569881,-1.230746565,0.8091411125,1.00029032393507,3261.07354309116,2797.95770520877
"beta_raw[1,3]",1.3744788400025,1.3688028,0.395384948914067,0.39010445481,0.7267608045,2.02138442,1.00055703571207,2973.07142955533,2670.21082287866
"beta_raw[2,3]",-0.972707976490825,-0.96527071,0.401173731722713,0.404638071264,-1.624114195,-0.325673049000001,1.00064638197725,3079.93601825702,3039.70528700493
"beta_raw[1,4]",0.44068617287214,0.44003021,0.248912936508,0.250491622941,0.03225820485,0.851831113,1.00057770939026,3525.93738986859,2937.35304426136
"beta_raw[2,4]",-0.43394622684856,-0.431580675,0.257290422059797,0.259375288011,-0.8561953985,-0.01567469115,1.00047565406957,4649.51329857648,3057.94711857544
"lambda",0.0737970687345,0.072713597,0.0114398018100081,0.0111990726246,0.05680542695,0.09400131365,1.00041353039936,5169.66641965462,2764.18719104337
"s1_raw[1,1]",0.00141915352892,0.014545162,0.980739087819817,0.9702148366092,-1.6228979,1.569596245,1.00093846436815,8184.37534130002,3013.29804898385
"s1_raw[2,1]",0.0207132578736775,0.0111895085,1.00154007520289,0.986132390481,-1.615598025,1.70488878,1.00071188145336,7992.09664232437,2775.7227818909
"s1_raw[3,1]",0.016771011211695,0.022441855,1.04513341038112,1.060110053331,-1.658516075,1.73667195,1.00117587241673,5367.11500745905,2663.45237369703
"s1_raw[4,1]",-0.0165599145701172,-0.0161853745,0.981470602511849,0.9583200976713,-1.651271285,1.62067497,1.001310732786,5739.28841241173,2817.59551968096
"s1_raw[5,1]",-0.000343259771846998,0.0017540611,0.997528842426328,1.02598714122786,-1.642207355,1.652774955,0.999307154571164,7428.313987813,2714.77852887919
"s1_raw[6,1]",0.0138812829123875,0.0164481135,0.998373305974721,1.012369584618,-1.612416085,1.658212795,1.0002291084263,7031.63149722018,2633.98708285438
