variable;mean;median;sd;mad;q5;q95;time;
p_fit[20;1];0.017922062376331;0.00518864;0.0468439441957027;0.0069648048309;0.0001356505;0.0647466149999999;93.0067614789214
p_fit[21;1];0.0179220572824885;0.00518864;0.0468439190368434;0.0069648048309;0.0001356505;0.0647466149999999;93.0067861564271
p_fit[22;1];0.0179219055992625;0.005188635;0.0468432889028328;0.0069647944527;0.00013565335;0.0647462199999999;93.0074983695429
p_fit[23;1];0.0179216948663522;0.005188625;0.046842423909416;0.0069647766615;0.00013565625;0.0647456299999999;93.0084945745021
p_fit[24;1];0.017921557001456;0.00518862;0.0468418473603738;0.0069647677659;0.0001356591;0.0647453299999999;93.0091389193665
p_fit[25;1];0.017921552636321;0.00518862;0.0468418320670529;0.0069647677659;0.0001356591;0.0647453299999999;93.0091619373718
p_fit[26;1];0.0179215475017485;0.00518862;0.0468418154737878;0.0069647677659;0.0001356591;0.0647452349999999;93.0091928168293
p_fit[27;1];0.0179215132701415;0.00518862;0.0468416743156799;0.0069647670246;0.0001356591;0.0647452349999999;93.0093487304449
p_fit[28;1];0.0179215038922515;0.005188615;0.0468416333366023;0.0069647596116;0.0001356601;0.0647451349999999;93.0093925613817
p_fit[29;1];0.0179213833551677;0.005188615;0.0468411346978926;0.0069647573877;0.000135662;0.0647448399999999;93.0099595611636
p_fit[30;1];0.0179208675320355;0.005188595;0.0468390084998421;0.0069647195814;0.00013566965;0.0647434599999999;93.0123993295478
p_fit[31;1];0.0179207162959345;0.00518859;0.0468383834209675;0.0069647099445;0.00013567255;0.0647430649999999;93.013104441776
p_fit[32;1];0.0179204960351317;0.005188585;0.0468374702443856;0.006964698825;0.00013567635;0.0647424749999999;93.0141436329624
p_fit[33;1];0.0179202754392015;0.005188575;0.046836560682167;0.0069646802925;0.0001356802;0.0647419749999999;93.0151890744036
p_fit[34;1];0.0179201856369047;0.00518857;0.0468361941153918;0.0069646713969;0.00013568115;0.0647416799999999;93.0156196949771
p_fit[35;1];0.0179201598965075;0.00518857;0.0468360900577987;0.0069646713969;0.0001356821;0.0647415849999999;93.0157343622996
p_fit[36;1];0.0179195026948392;0.005188545;0.0468333741678618;0.0069646239537;0.00013569265;0.0647399049999999;93.0188268348062
p_fit[37;1];0.0179194603867045;0.005188545;0.0468331939663124;0.0069646232124;0.00013569265;0.0647398049999999;93.01904166047
p_fit[38;1];0.017919326307431;0.00518854;0.0468326452410254;0.0069646135755;0.00013569555;0.064739415;93.0196634781174
p_fit[39;1];0.0128197036591577;0.005146445;0.0258423914612005;0.0066325512057;0.00018127105;0.04571484;124.000282112136
p_fit[40;1];0.0128197015141078;0.005146445;0.0258423838759584;0.006632551947;0.00018127105;0.04571484;124.000303437551
p_fit[41;1];0.0128196863369232;0.00514645;0.0258423221881807;0.0066325578774;0.000181272;0.04571474;124.000426049838
p_fit[42;1];0.0128196562967742;0.00514645;0.0258421988032336;0.0066325556535;0.00018127195;0.045714545;124.000669357418
p_fit[43;1];0.01281963332734;0.005146455;0.0258421097299055;0.0066325615839;0.00018127195;0.04571435;124.000844334327
p_fit[44;1];0.0128195783035645;0.00514646;0.0258418965605145;0.0066325645491;0.00018127385;0.045713955;124.001316513792
p_fit[45;1];0.0128195257654585;0.00514646;0.025841686052758;0.0066325608426;0.0001812748;0.045713565;124.001741748913
p_fit[46;1];0.0128194242646945;0.00514647;0.0258412817247396;0.0066325675143;0.0001812757;0.045712875;124.002560564838
p_fit[47;1];0.0128193565231217;0.00514647;0.0258410155674294;0.0066325630665;0.00018127755;0.045712385;124.003123461031
p_fit[48;1];0.0128193533008993;0.00514647;0.0258410060896797;0.0066325623252;0.00018127755;0.045712385;124.003152002753
p_fit[49;1];0.0128193525457518;0.00514647;0.0258410021885089;0.0066325623252;0.00018127755;0.045712385;124.003160656523
p_fit[50;1];0.0128193174913805;0.005146475;0.0258408574266033;0.0066325675143;0.00018127755;0.045712185;124.003432404841
p_fit[51;1];0.0128192678251995;0.00514648;0.0258406635273036;0.0066325712208;0.0001812785;0.045711795;124.003840629663
p_fit[52;1];0.0128192332205257;0.005146485;0.0258405279705476;0.0066325756686;0.0001812794;0.045711595;124.004122285051
p_fit[53;1];0.0128192085754718;0.00514648;0.0258404320333456;0.006632566773;0.0001812794;0.0457114;124.004339262918
p_fit[54;1];0.0128191771503975;0.005146485;0.0258403064082328;0.0066325719621;0.00018128035;0.04571111;124.004584656693
p_fit[55;1];0.012819151279341;0.005146485;0.0258402020110213;0.0066325697382;0.00018128035;0.04571101;124.004793461137
p_fit[56;1];0.0128191365523565;0.00514649;0.0258401440132646;0.0066325756686;0.0001812813;0.04571091;124.004910042393
p_fit[57;1];0.012819121865292;0.00514649;0.0258400853954397;0.0066325749273;0.0001812813;0.045710715;124.005041656438
p_fit[58;1];0.0128191023861875;0.00514649;0.0258400085550351;0.0066325734447;0.0001812813;0.045710615;124.005193813681
p_fit[59;1];0.0128190904497455;0.00514649;0.0258399643703002;0.0066325727034;0.0001812822;0.04571052;124.005291426564
p_fit[60;1];0.0128190517636768;0.005146495;0.0258398112062905;0.0066325771512;0.0001812822;0.04571032;124.005610092371
p_fit[61;1];0.0128189890201788;0.005146495;0.0258395608130237;0.0066325719621;0.0001812841;0.04570983;124.006120083299
p_fit[62;1];0.012818985708184;0.0051465;0.0258395496895699;0.0066325793751;0.0001812841;0.04570983;124.00614833124
p_fit[63;1];0.012818967876722;0.0051465;0.0258394795561345;0.0066325778925;0.0001812841;0.04570973;124.006288934965
p_fit[64;1];0.012818909716719;0.005146505;0.025839249308505;0.006632581599;0.000181285;0.04570924;124.006764896582
p_fit[65;1];0.012818860376258;0.005146505;0.0258390490811911;0.0066325778925;0.00018128595;0.045708945;124.007168495967
p_fit[66;1];0.0128188580482657;0.005146505;0.0258390446264537;0.0066325771512;0.00018128595;0.045708945;124.007196246437
p_fit[67;1];0.012818851960596;0.005146505;0.0258390245917881;0.0066325764099;0.00018128595;0.04570885;124.007250722465
