"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",4.5551436275,9.550008225,4.55633,9.550425,0.230013926532973,0.202242738503188,0.230974254,0.199691394,4.174383,9.2114005,4.922153,9.8774905,8.00635284650605
"y_fit[2",4.5550234875,9.54976177,4.556205,9.550175,0.230006853897057,0.202234771084688,0.230966841,0.199691394,4.1742825,9.2111705,4.9220225,9.8772395,8.0076303107338
"y_fit[3",4.55466038,9.54901691,4.55583,9.54941,0.229985731685903,0.20221046264821,0.230944602,0.199669154999999,4.1739625,9.2104885,4.9216395,9.8764865,8.01149294054136
"y_fit[4",4.55457812,9.54884825,4.555745,9.549235,0.229981068503547,0.202204974332232,0.230944602000001,0.199654328999999,4.173883,9.2103285,4.921559,9.876316,8.01236755945254
"y_fit[5",4.5545118575,9.5487121375,4.555675,9.549095,0.22997706447257,0.202200247729328,0.230944602000001,0.199654329,4.1738325,9.210208,4.9214885,9.8761755,8.01307326896582
"y_fit[6",4.5543933975,9.5484693,4.555555,9.548845,0.229970241149557,0.202192802882408,0.230937189,0.199654329,4.173723,9.2099775,4.921358,9.8759345,8.01433327550534
"y_fit[7",4.554176395,9.548024105,4.55533,9.54839,0.229957573289471,0.202178246097961,0.230922363,0.199646916,4.173533,9.209567,4.921136,9.875483,8.01664212351665
"y_fit[8",4.5541117675,9.5478912125,4.555265,9.548255,0.229953739396028,0.202173474488251,0.230922363,0.199632090000001,4.173473,9.2094465,4.9210655,9.875352,8.01732990236487
"y_fit[9",4.5539635975,9.5475873,4.55511,9.54794,0.229945046083162,0.202163889414024,0.230907537,0.199609851,4.173343,9.209166,4.9209045,9.875041,8.01890683869831
"y_fit[10",4.5538647575,9.5473845675,4.555005,9.54774,0.229939374281902,0.202157146671471,0.230900124,0.199602438000001,4.173253,9.2089755,4.920804,9.87484,8.01995786752086
"y_fit[11",1.4535574225,4.21763693,1.451465,4.21814,0.107429270745848,0.140842364828583,0.10696959,0.1349166,1.2776485,3.984003,1.632225,4.448271,59.0003441049065
"y_fit[12",1.4534565925,4.2175231775,1.451355,4.218035,0.107426986508379,0.140839308773696,0.10696959,0.134909187,1.2775395,3.9838925,1.632115,4.4481605,59.0033140424127
"y_fit[13",1.4534131875,4.2174740925,1.45131,4.21799,0.107426014177178,0.140838013702453,0.10696959,0.1349166,1.2774895,3.983842,1.632075,4.448101,59.0045969537739
"y_fit[14",1.4533894625,4.217447105,1.45128,4.21797,0.107425521647146,0.140837292880243,0.106962177,0.134924013000001,1.27746,3.983822,1.632045,4.4480805,59.0052995291399
"y_fit[15",1.4533463425,4.21739846,1.451235,4.21792,0.107424503251923,0.140836052279712,0.106962177,0.134924012999999,1.27742,3.983772,1.632005,4.4480305,59.0065704707894
"y_fit[16",1.4532960125,4.217341585,1.45118,4.21787,0.10742334274829,0.140834554352484,0.106962177,0.134931425999999,1.2773605,3.983722,1.6319455,4.4479705,59.0080545275845
"y_fit[17",1.45322905,4.2172659475,1.451105,4.2178,0.107421871536334,0.140832560233803,0.106954764,0.134938839,1.2772905,3.9836425,1.6318755,4.4478905,59.0100305789523
"y_fit[18",1.4532149,4.21724986,1.451095,4.217785,0.107421454712144,0.140832127479894,0.106954764,0.134946252,1.277271,3.9836325,1.631865,4.447871,59.0104462407017
"y_fit[19",1.45312503,4.21714822,1.450995,4.217695,0.107419569803613,0.140829558915548,0.106939938,0.134961078000001,1.277181,3.983533,1.631775,4.447761,59.0131010689633
"y_fit[20",1.4529106175,4.21690586,1.450765,4.217475,0.10741460193787,0.140823089452302,0.106917699,0.134990730000001,1.2769425,3.983294,1.6315455,4.447511,59.0194280022336
"y_fit[21",1.12222719625,3.79914461,1.120615,3.7996,0.0995332743314467,0.131499730462369,0.100194108,0.127125537,0.96189465,3.586307,1.2893895,4.0178015,72.0014648615709
