"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0181697;0,0179988;0,0203492;0,0185033
0,0190594;0,0171251;0,0178619;0,0195664
0,0194675;0,0178059;0,0188553;0,0161628
0,0181544;0,0175376;0,0166872;0,0194558
0,0182022;0,0199796;0,0193527;0,0180368
0,0173643;0,0207027;0,0175494;0,0184954
0,0180206;0,0194544;0,0179367;0,0175424
0,0180817;0,0167949;0,0176711;0,0201007
0,0167313;0,0178801;0,0174908;0,0193134
0,0199197;0,0176336;0,0171089;0,0175857
0,0179532;0,0178356;0,0177868;0,0174822
0,0196626;0,0176169;0,0192676;0,0190575
0,0187315;0,0190268;0,0176934;0,0175692
0,0179184;0,0183221;0,018123;0,0194966
0,0201512;0,0194438;0,0180414;0,0184547
0,0177588;0,0190107;0,0180234;0,0175172
0,0201085;0,0190541;0,0182683;0,0184599
0,0182218;0,0175965;0,0195367;0,0179859
0,0195423;0,0188655;0,0184205;0,0180027
0,018677;0,0184439;0,0166489;0,0177113
0,0173953;0,017163;0,0197638;0,0174227
0,0201257;0,019029;0,0177043;0,0198914
0,0179822;0,0189483;0,0188103;0,0176962
0,0171781;0,0186698;0,017643;0,0170296
0,0177413;0,0188546;0,0181165;0,0186636
0,0199226;0,0187075;0,0185609;0,0176441
0,0175434;0,0203564;0,0167549;0,0177583
0,0172229;0,0183174;0,0173262;0,0172855
0,0181967;0,0203889;0,0179757;0,018378
0,0181807;0,0176917;0,017111;0,01843
0,0187476;0,0203499;0,0161352;0,0176305
0,0188974;0,0186267;0,0176259;0,0178804
0,0180675;0,017483;0,0197742;0,018667
0,0182584;0,0169791;0,0198851;0,0193301
0,0171745;0,0176764;0,0171077;0,0192311
0,0185005;0,018247;0,015229;0,0186003
0,018457;0,0174473;0,0193542;0,0186842
0,018025;0,0177537;0,0179848;0,018314
0,0172192;0,0189145;0,0183037;0,0182403
0,0183381;0,0184373;0,0182384;0,019193
0,0180396;0,0182608;0,0176081;0,018076
0,0177978;0,0179836;0,0182602;0,0178003
0,0178284;0,0187636;0,0208414;0,0197256
0,0201507;0,0190787;0,0167754;0,0177685
0,0185417;0,0179595;0,0174331;0,0182707
0,0179849;0,0179833;0,0172872;0,0170002
0,0199837;0,0178959;0,0199006;0,0169206
0,0185919;0,0186813;0,0195739;0,0181266
0,0182215;0,0179025;0,0179789;0,0185637
0,0187413;0,0190325;0,0206153;0,0195973
0,0162901;0,0193536;0,0164318;0,0167596
0,0184711;0,0172237;0,0193868;0,0185499
0,0202215;0,0162793;0,0192793;0,0181464
0,0205629;0,0188427;0,0177722;0,0188689
0,0166929;0,0195836;0,0188465;0,0188026
0,018541;0,0157021;0,0177714;0,0187779
0,018318;0,0199711;0,0184836;0,01892
0,015643;0,0172042;0,0170657;0,0178231
0,0192695;0,0189449;0,0188234;0,0188497
0,0172575;0,0163571;0,0177269;0,0182875
0,0178493;0,0203554;0,0202381;0,0197145
0,0174014;0,0178357;0,0174504;0,0164724
0,0184152;0,0193995;0,0181578;0,0159573
0,0187012;0,0171556;0,0185163;0,0201254
0,0186752;0,0172935;0,0176128;0,0173732
0,0178336;0,0202043;0,0173335;0,0172106
0,0183228;0,017452;0,0186754;0,0184297
0,0172136;0,0181656;0,0166354;0,0202009
0,0199337;0,017914;0,019113;0,0175274
0,0173311;0,0196527;0,0191988;0,0185186
0,0184816;0,0193258;0,0182704;0,0188159
0,0176982;0,0193112;0,0188944;0,0182202
0,0177322;0,0187574;0,0167688;0,0190072
0,0184915;0,0184329;0,0193217;0,0187944
0,0190709;0,0186243;0,0171796;0,0176637
0,0183714;0,0188269;0,0202267;0,0191311
0,0186798;0,0183687;0,0196125;0,0175836
0,0184091;0,0188709;0,0181307;0,0182213
