"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0212749;0,020621;0,0213545;0,0201843
0,0210677;0,021356;0,0211334;0,0213225
0,022304;0,0209618;0,0203381;0,0210836
0,0192289;0,0203564;0,0212241;0,0198244
0,0213024;0,0210036;0,0210442;0,0230136
0,020598;0,0216151;0,0205796;0,0194772
0,0214634;0,0198243;0,0210012;0,0218178
0,0198972;0,0209528;0,0208379;0,0213859
0,0207133;0,0209373;0,0202553;0,0202409
0,0205894;0,0207007;0,0203388;0,0215432
0,020934;0,0209686;0,0211249;0,0202787
0,0207077;0,0212193;0,0203206;0,0211096
0,0199243;0,0204017;0,0204017;0,0201557
0,0222237;0,0194643;0,0212677;0,0206239
0,0207747;0,021243;0,0207582;0,020628
0,0223277;0,022606;0,0215889;0,0219955
0,0210016;0,0203948;0,0202376;0,0201082
0,0200936;0,0204063;0,0200522;0,0226264
0,0216695;0,0219685;0,0200526;0,0189382
0,0204;0,0209329;0,0211595;0,021527
0,0203532;0,0210114;0,0214857;0,019199
0,0205367;0,0210214;0,0215119;0,0202081
0,0209048;0,0199663;0,0206952;0,0195549
0,0206428;0,0213326;0,0197422;0,0222019
0,0214857;0,0190857;0,0216906;0,0195867
0,0216968;0,0221215;0,0203356;0,0220788
0,0206928;0,021573;0,0217161;0,019236
0,0202679;0,0210942;0,0186813;0,0200378
0,0220396;0,0213137;0,0226653;0,0208694
0,0201927;0,0199169;0,0208505;0,0218035
0,0218411;0,0224745;0,0201922;0,0199328
0,019935;0,0203102;0,0214562;0,0209679
0,0202629;0,0203874;0,0210551;0,0195399
0,0212235;0,0206778;0,0194733;0,0219753
0,0206067;0,0201615;0,0204096;0,0199974
0,0199297;0,0200583;0,0202488;0,0198977
0,0219944;0,0213774;0,0225937;0,0215247
0,0196767;0,0205048;0,0199657;0,0217152
0,022271;0,0223723;0,0200761;0,0203076
0,0199507;0,0193101;0,0212738;0,0207802
0,0215384;0,0204879;0,0207632;0,021115
0,0206693;0,0209384;0,0212854;0,0208208
0,0216805;0,0206895;0,0212426;0,0225504
0,0222993;0,0207117;0,0209011;0,020007
0,020176;0,0210828;0,0210734;0,0214303
0,0214416;0,0216303;0,0203493;0,0196751
0,0183629;0,0197349;0,020116;0,0208265
0,0231288;0,0200785;0,0219392;0,0209594
0,0196277;0,0201595;0,0194231;0,0211254
0,0198371;0,021447;0,0215223;0,0212757
0,0222965;0,0205527;0,0208409;0,0212175
0,0223901;0,0207052;0,0216651;0,0208797
0,0198825;0,0216668;0,0229566;0,0204758
0,0221707;0,020906;0,0215828;0,0201656
0,0198061;0,0202665;0,0218042;0,0212986
0,0218874;0,0208851;0,0205175;0,0198684
0,0198155;0,0200843;0,0214445;0,0208651
0,0203337;0,0213933;0,020061;0,0198537
0,0192168;0,0211396;0,0213785;0,0199831
0,0223806;0,0208142;0,0205938;0,019735
0,0190104;0,0203014;0,0206172;0,0216331
0,0217938;0,020118;0,0211033;0,0198003
0,02072;0,0208352;0,0212616;0,0220504
0,0210374;0,0208906;0,0199991;0,0198176
0,0207459;0,0188704;0,0202428;0,0202915
0,0209614;0,0212996;0,0222942;0,0215861
0,0193623;0,0213433;0,0202497;0,02007
0,0202965;0,0200647;0,0208589;0,0202794
0,0213882;0,0209193;0,0208517;0,0206088
0,0198907;0,0229343;0,0213646;0,020048
0,0194587;0,0195698;0,0213837;0,0215105
0,0218355;0,0212618;0,0207246;0,0205214
0,0199319;0,019615;0,0209115;0,0215832
0,0212012;0,0199932;0,0203892;0,0197771
0,0216876;0,0217789;0,0211451;0,0207354
0,0202253;0,0202563;0,0214034;0,0207138
0,0222674;0,0204673;0,019161;0,0200629
0,0231261;0,0201253;0,0215317;0,0207654
0,0184782;0,0210235;0,0201742;0,0195309
0,0210202;0,0214522;0,0203968;0,0201715
0,0209313;0,0210306;0,0207495;0,0206135
0,0218379;0,0211224;0,0203814;0,0221865
0,0201413;0,0214374;0,0209943;0,0203846
0,0214819;0,0205599;0,0204485;0,0208946
0,021011;0,0209518;0,0218964;0,0207479
0,020564;0,0207743;0,0206652;0,0208582
0,0211201;0,0206398;0,020238;0,0215312
0,0211354;0,0212893;0,0212399;0,0203982
0,0211174;0,0205814;0,0207693;0,0209465
0,0198818;0,0223203;0,0208685;0,0205092
0,0217383;0,0198967;0,0216071;0,0204115
0,0208697;0,0216613;0,0202115;0,0201336
0,0218837;0,0201682;0,0214144;0,0217945
0,0202725;0,019762;0,0198236;0,0196873
0,0216613;0,0201622;0,0216754;0,0208269
0,0210837;0,0208104;0,0194923;0,0216482
0,020708;0,0233323;0,0209787;0,020255
0,021035;0,0193101;0,0202137;0,0186518
0,0201878;0,020496;0,0211939;0,0205636
0,0217567;0,0211609;0,0208345;0,0208138
0,0202757;0,0204389;0,0204338;0,0192777
0,021943;0,0224532;0,0218159;0,0203909
0,0213216;0,0204984;0,0197347;0,022092
0,0200957;0,0199444;0,0203715;0,0198687
0,0209275;0,021018;0,0197751;0,0217663
0,0202962;0,0204148;0,0217208;0,020457
0,0219298;0,021886;0,020089;0,0201714
0,0195963;0,0200052;0,0202824;0,0206251
0,0208381;0,0205415;0,0209143;0,0211377
0,0209118;0,0203225;0,0211567;0,0199053
0,0212046;0,0197575;0,0211881;0,0192644
0,0204182;0,021011;0,0199864;0,0204583
0,0217051;0,0212501;0,0218451;0,0206432
0,0192824;0,0212251;0,0225523;0,0204807
0,0218618;0,0198385;0,0218604;0,0208402
0,0217087;0,0220853;0,0191009;0,0209484
0,0195635;0,0193853;0,022136;0,0196989
0,01904;0,0225512;0,0203632;0,0203666
0,0220979;0,0197081;0,0199098;0,0224957
0,0226968;0,0187531;0,0187517;0,0199565
0,0198577;0,0227458;0,0216623;0,0221906
0,0222914;0,0210963;0,0205198;0,0207829
0,0194757;0,0199839;0,022898;0,0201799
0,0225175;0,0213111;0,0194356;0,0220808
0,0210375;0,020754;0,0215561;0,0196777
0,0210958;0,019997;0,0212915;0,019457
0,0196745;0,0207607;0,0206626;0,0207804
0,0223065;0,0209341;0,0205371;0,0197486
0,0209736;0,0213599;0,0211314;0,021472
0,01973;0,0207319;0,020623;0,0215712
0,0214969;0,0215743;0,0208675;0,0210517
0,0212917;0,0194481;0,0211783;0,0200541
0,0221931;0,0203893;0,0203466;0,0213139
0,0201264;0,0202472;0,0207191;0,0220361
