"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",4.43726359,9.075378465,4.43937,9.074985,0.222626349497279,0.245681849963818,0.219535995,0.239009946000002,4.071579,8.668285,4.80247,9.4807885,8.00292317718267
"y_fit[2",4.437177125,9.075204095,4.43928,9.074815,0.222620665657478,0.245673990205815,0.219528582,0.238995120000001,4.071499,8.668106,4.80237,9.4805995,8.0040288823843
"y_fit[3",4.4370591875,9.074965855,4.439165,9.074575,0.222613002110933,0.2456632229767,0.219528582,0.238965468,4.0713895,8.6678665,4.8022405,9.4803405,8.00553968146443
"y_fit[4",4.43699181,9.0748301925,4.4391,9.074435,0.222608562624874,0.245657044090569,0.219521169,0.238943229000001,4.0713295,8.667727,4.8021605,9.4801915,8.00640076162759
"y_fit[5",4.436938365,9.07472216,4.43905,9.074325,0.222605042248003,0.245652216605031,0.219521169,0.238928403000001,4.0712795,8.667617,4.802101,9.4800815,8.00708539578598
"y_fit[6",4.436768785,9.07438028,4.43888,9.073985,0.22259394543891,0.245636686749335,0.219521169,0.238898751000001,4.0711295,8.6672775,4.8019015,9.4797035,8.00925457398873
"y_fit[7",4.4365822075,9.074003995,4.438695,9.0736,0.222581780902435,0.245619609163828,0.219528582,0.238883925,4.07096,8.6668985,4.801683,9.4792955,8.01164105458185
"y_fit[8",4.4364588875,9.07375499,4.43858,9.07335,0.2225736396417,0.245608330587876,0.219528582,0.238876511999999,4.07085,8.666649,4.801543,9.4790265,8.01322078139521
"y_fit[9",4.436403235,9.0736426375,4.438525,9.073235,0.22257001444482,0.24560333438124,0.219528582,0.238869099,4.0707905,8.666539,4.801483,9.4788975,8.01393323094118
"y_fit[10",4.4364002325,9.0736365725,4.43852,9.07323,0.22256976900972,0.245603022230406,0.219535995,0.238869099,4.0707905,8.666529,4.8014735,9.4788975,8.0139723818656
"y_fit[11",1.6488102425,4.43873395,1.647895,4.435565,0.111606567975949,0.144158775853263,0.110772459,0.144219915000001,1.4713465,4.2095095,1.836089,4.6809035,59.0012395447865
"y_fit[12",1.64870457,4.43861532,1.64778,4.43545,0.111605003215361,0.144156696819493,0.110765046,0.144227327999999,1.471237,4.2094085,1.8359985,4.680764,59.004304748401
"y_fit[13",1.6486016875,4.4384998025,1.64768,4.43534,0.111603629905032,0.144154776277329,0.110757633,0.144234741,1.471137,4.2093175,1.835898,4.680644,59.0072923432663
"y_fit[14",1.648596795,4.438494195,1.64767,4.43533,0.111603578006191,0.144154637405542,0.110757633,0.144234741,1.471127,4.2093075,1.8358975,4.6806345,59.0074343252368
"y_fit[15",1.6485940175,4.4384911975,1.64767,4.43533,0.111603524438306,0.144154577482622,0.110757633,0.144234741,1.471127,4.2093075,1.835888,4.6806345,59.0075143974647
"y_fit[16",1.6485606325,4.4384536275,1.647635,4.43529,0.111603033510506,0.144153936839903,0.110757633,0.144227328000001,1.4710965,4.209277,1.835858,4.6805945,59.0084853511816
"y_fit[17",1.6484906425,4.43837525,1.647565,4.435215,0.111602213920917,0.144152637313539,0.110757633,0.144242153999999,1.471027,4.209207,1.835797,4.6805045,59.0105142549425
"y_fit[18",1.6484010975,4.4382746425,1.64747,4.43512,0.11160087310317,0.144150818242292,0.11075022,0.144242154000001,1.470937,4.209126,1.8357165,4.680395,59.0131143408408
"y_fit[19",1.6483240925,4.438188105,1.64739,4.435035,0.111599781037457,0.144149297862243,0.11075022,0.144249567,1.4708665,4.2090555,1.835646,4.6802955,59.0153530150931
"y_fit[20",1.6482658225,4.438122775,1.647335,4.43497,0.111599009336753,0.144148224587444,0.110757633,0.144249567,1.4708065,4.2090045,1.835586,4.6802255,59.0170434467681
"y_fit[21",1.30602142125,4.0042433225,1.3028,3.999555,0.106059207208133,0.136874931920286,0.103804239,0.13558377,1.1375585,3.7803025,1.4896305,4.2320265,72.0014879453648
"y_fit[22",1.305974303,4.00417225,1.302745,3.99949,0.106058167717364,0.136873701991696,0.103819065,0.135598596,1.137509,3.7802425,1.4895805,4.231956,72.0039933415782
"y_fit[23",1.30592938825,4.00410468,1.30269,3.99943,0.106057236840795,0.136872621318561,0.103826478,0.135613422,1.1374685,3.7801825,1.48954,4.231886,72.0063767737802
"y_fit[24",1.305897224,4.004056115,1.302655,3.99938,0.106056593368763,0.136871788714085,0.103826478,0.135613422,1.137438,3.780142,1.48951,4.2318455,72.0080853910372
"y_fit[25",1.305895761,4.0040542125,1.302655,3.99938,0.106056499613201,0.136871709064786,0.103819065,0.135613422,1.1374285,3.780142,1.4895095,4.2318455,72.0081580202934
"y_fit[26",1.3058809995,4.00403185,1.302635,3.99936,0.106056230060818,0.136871278169214,0.103826478,0.135613422,1.1374185,3.780122,1.4894995,4.231816,72.0089429314481
"y_fit[27",1.305854115,4.0039914175,1.302605,3.99932,0.106055646511895,0.136870625823326,0.103826478,0.135613422,1.1373885,3.7800915,1.4894695,4.231776,72.010372238853
"y_fit[28",1.305776431,4.00387446,1.30252,3.999215,0.106053994517142,0.136868641585356,0.103833891,0.135635661,1.1373085,3.7799915,1.489399,4.2316655,72.0144950480806
"y_fit[29",1.3057477585,4.00383125,1.302485,3.999175,0.106053445001906,0.136867979323246,0.103848717,0.135628248,1.1372785,3.7799515,1.489369,4.231625,72.0160217890889
"y_fit[30",1.3057196735,4.00378899,1.302455,3.999135,0.106052832887617,0.136867241301435,0.103848717,0.135628248,1.1372485,3.779921,1.4893485,4.231585,72.0175124651846
"y_fit[31",1.04934566825,3.81596798,1.04416,3.81371,0.10432510474471,0.129471545890664,0.1028672358,0.128489528999999,0.8830668,3.606059,1.2286375,4.0311995,84.001838952112
"y_fit[32",1.0492922465,3.815958595,1.04411,3.81369,0.104325345401403,0.129469933668427,0.1028709423,0.128511768,0.88301275,3.6060495,1.2285775,4.0311895,84.0041111710016
"y_fit[33",1.04925271025,3.8159516825,1.044075,3.813685,0.104325491116781,0.129468763703018,0.1028709423,0.128511768,0.8829737,3.6060395,1.2285375,4.03117,84.0057919902355
"y_fit[34",1.0491781745,3.815938575,1.04401,3.813675,0.104325686330168,0.129466540168397,0.1028761314,0.128511768,0.88289865,3.60602,1.228458,4.03115,84.0089586900361
"y_fit[35",1.049154916,3.81593457,1.04399,3.81367,0.104325803793368,0.129465816778768,0.1028783553,0.128519181,0.8828756,3.60602,1.2284375,4.0311405,84.0099458702561
"y_fit[36",1.049125885,3.8159295275,1.043965,3.813665,0.10432582406705,0.129464961714472,0.1028783553,0.128519181,0.8828466,3.60601,1.2284075,4.0311305,84.0111807872122
"y_fit[37",1.04909271025,3.8159236475,1.043935,3.813655,0.104325978055452,0.129464004656299,0.1028813205,0.128534007,0.88281355,3.6060095,1.2283775,4.0311205,84.0125912877452
"y_fit[38",1.048966834,3.8159018025,1.04382,3.81362,0.104326383022141,0.129460269948544,0.1028879922,0.12854142,0.8826874,3.6059795,1.2282475,4.0310815,84.0179380231351
"y_fit[39",1.0489502985,3.81589886,1.043805,3.81362,0.104326503265078,0.129459725339666,0.1028931813,0.128534007,0.8826704,3.6059795,1.228228,4.0310715,84.0186476680031
"y_fit[40",1.048942129,3.8158974275,1.0438,3.81361,0.104326478813369,0.129459392309989,0.1028916987,0.128534007,0.8826624,3.6059795,1.228218,4.0310715,84.0189937107964
