"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",4.388125615,9.05459414,4.394515,9.051865,0.240809937881034,0.234135587164264,0.241700865,0.22958061,3.9899965,8.6644125,4.777961,9.4449255,8.00159520653076
"y_fit[2",4.38799407,9.0543167075,4.39438,9.05158,0.240801376587794,0.234125832727664,0.241686039,0.229580610000001,3.989877,8.6641515,4.777811,9.444636,8.00315087571274
"y_fit[3",4.38787162,9.05405833,4.39426,9.051315,0.240793379329162,0.23411700775935,0.241678626,0.229573197,3.9897575,8.6639105,4.7776805,9.4443755,8.00459996350575
"y_fit[4",4.3873142225,9.05288235,4.3937,9.05011,0.240756873175078,0.234076192764733,0.2416638,0.229536132,3.98923,8.662807,4.7770595,9.4431535,8.01119517864194
"y_fit[5",4.38729789,9.0528478575,4.393685,9.050075,0.240755779777811,0.23407496128123,0.241671213,0.229536132000001,3.9892195,8.6627765,4.7770395,9.443123,8.01138772816397
"y_fit[6",4.3872537,9.0527543825,4.39364,9.049975,0.240752836571637,0.234071713813354,0.241671213,0.229543545000001,3.98917,8.6626865,4.7769895,9.443023,8.01191218730528
"y_fit[7",4.3872296575,9.052703775,4.39362,9.049925,0.24075138284347,0.2340699878968,0.241671213,0.229543545000001,3.98915,8.6626365,4.77696,9.4429725,8.01219622213393
"y_fit[8",4.38722902,9.0527024325,4.393615,9.049925,0.240751363795996,0.234069916215064,0.241671213,0.229543545000001,3.98915,8.6626365,4.7769595,9.4429725,8.01220364599489
"y_fit[9",4.38677959,9.051754275,4.393165,9.04897,0.240721888460684,0.234037081054267,0.241686039,0.229550957999999,3.9887585,8.6617435,4.776459,9.4419885,8.01752197891939
"y_fit[10",4.3867641075,9.0517214275,4.39315,9.048935,0.240720882607085,0.234035913780817,0.241686039,0.229558371,3.988748,8.6617135,4.776439,9.4419585,8.01770536150783
"y_fit[11",1.5292865175,4.1790680975,1.529235,4.17637,0.110770315473933,0.12559259638419,0.11008305,0.125687414999999,1.3511895,3.975718,1.710503,4.3899355,59.0000448869588
"y_fit[12",1.5292734675,4.1790544725,1.529225,4.176355,0.110770320480381,0.125592501860392,0.110090463,0.125694828,1.3511795,3.975708,1.7104925,4.3899155,59.0004513222678
"y_fit[13",1.52927043,4.1790513575,1.529215,4.176355,0.110770245458042,0.125592492987463,0.11008305,0.125687414999999,1.351179,3.975698,1.710483,4.3899155,59.0005453799572
"y_fit[14",1.5292457475,4.179025935,1.52919,4.17633,0.110770089147313,0.125592450876655,0.11008305,0.125680002,1.3511495,3.975678,1.710463,4.3898955,59.001308695781
"y_fit[15",1.52918697,4.178965295,1.529125,4.17627,0.110769727975553,0.125592221260209,0.11008305,0.125680001999999,1.3510895,3.9756265,1.7104025,4.3898355,59.0031311465194
"y_fit[16",1.5291183325,4.1788945575,1.52905,4.176205,0.110769296841793,0.125591907797558,0.11008305,0.125665176000001,1.3510195,3.9755665,1.710342,4.3897655,59.0052600868139
"y_fit[17",1.52905349,4.178827765,1.528975,4.17614,0.110769014286945,0.12559181543887,0.110075637,0.125657762999999,1.35095,3.975507,1.7102725,4.3897055,59.0072689637402
"y_fit[18",1.52904383,4.178817785,1.52896,4.176135,0.110768941017348,0.125591788598358,0.110075637,0.125650349999999,1.35094,3.975497,1.7102625,4.3896955,59.0075696600089
"y_fit[19",1.5290424025,4.17881636,1.52896,4.176125,0.110768901667152,0.125591666866664,0.110075637,0.125657763,1.35094,3.975497,1.710262,4.389695,59.0076114970213
