"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,199287;0,199445;0,202506;0,200095
0,200964;0,200537;0,197347;0,199807
0,199963;0,199368;0,198728;0,200051
0,200068;0,199118;0,200943;0,199999
0,200015;0,200815;0,199325;0,19975
0,200122;0,20085;0,200753;0,199423
0,200368;0,200024;0,199052;0,200236
0,200003;0,199982;0,201502;0,199298
0,200816;0,19921;0,199627;0,200116
0,199096;0,200966;0,200683;0,199738
0,200653;0,19969;0,201308;0,199885
0,199621;0,199945;0,199824;0,199349
0,20003;0,200497;0,199848;0,201933
0,200051;0,199376;0,20161;0,199715
0,201075;0,199357;0,197804;0,20076
0,198878;0,201403;0,202134;0,198798
0,199973;0,199193;0,198206;0,201257
0,199143;0,201191;0,201473;0,198499
0,200955;0,198827;0,198799;0,201134
0,199554;0,198483;0,201471;0,19799
0,199736;0,201254;0,198595;0,201364
0,198715;0,199718;0,201234;0,199945
0,200337;0,199043;0,198498;0,200263
0,199938;0,200632;0,200946;0,198676
0,200977;0,201316;0,200818;0,202519
0,199024;0,200632;0,200713;0,19714
0,199953;0,199529;0,199229;0,200004
0,200046;0,200627;0,198975;0,20017
0,199911;0,199402;0,20155;0,200681
0,199759;0,200863;0,198828;0,200017
0,199873;0,199308;0,197954;0,19979
0,199575;0,200699;0,202295;0,200196
0,199314;0,199279;0,198218;0,19979
0,200843;0,199676;0,201766;0,199952
0,199445;0,200243;0,198111;0,200962
0,20102;0,199345;0,202053;0,198915
0,198879;0,201236;0,198814;0,201114
0,201538;0,200836;0,201191;0,199912
0,201998;0,200931;0,199886;0,19972
0,198009;0,20051;0,201049;0,199474
0,201869;0,199376;0,198856;0,201545
0,198086;0,198949;0,201525;0,198417
0,200094;0,200361;0,198588;0,201487
0,200472;0,202266;0,202093;0,200478
0,199471;0,202371;0,201193;0,200111
0,199272;0,198545;0,201228;0,199629
0,198886;0,199896;0,199409;0,20231
0,199901;0,201358;0,201485;0,201976
0,199755;0,198719;0,198151;0,198398
0,200133;0,200462;0,202049;0,201609
0,199873;0,20036;0,19797;0,1983
0,20002;0,199987;0,200228;0,202018
0,199626;0,200506;0,201364;0,198526
0,200375;0,19996;0,198891;0,199814
0,200557;0,197917;0,201056;0,2002
0,198141;0,202063;0,198917;0,200196
0,201582;0,201441;0,200934;0,199186
0,201536;0,200361;0,197911;0,198349
0,198493;0,200141;0,201316;0,201401
0,200196;0,200021;0,199028;0,198701
0,200657;0,199981;0,198657;0,201746
0,199476;0,200004;0,201024;0,198204
