"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lambda[12]",0.0041265102875,0.00421487,0.00124067745249752,0.001820892255,0.002503318,0.0059081805,3.22620183700639,4.47738172266361,15.3041304472919
"lambda[13]",0.0088168397475,0.009016525,0.000699279420512143,0.000993957279000001,0.0079393785,0.009811383,2.84652684264158,4.65321076613821,24.2523501050072
"lambda[14]",0.008924848415,0.008998715,0.000326511807583218,0.000409457054999999,0.008351218,0.009298973,3.10167372058981,4.51910060830784,13.664094753613
"lambda[15]",0.0089760393,0.009250945,0.000672275696307416,0.000635049471,0.0080260995,0.009730098,3.10185201955775,4.51930739017099,11.3763470205572
"lambda[16]",0.013949818825,0.01397125,0.000549680382412199,0.000564944729999999,0.01312399,0.014744505,2.81268938908009,4.69451564649467,11.7758577292881
"lambda[17]",0.01366617755,0.01346955,0.000631508960825496,0.00061401879,0.01302339,0.01504052,3.42765983763158,4.44264011261607,11.4599383658334
"lambda[18]",0.013824729875,0.01415055,0.000656499843150018,0.000379842120000001,0.0128302,0.014520625,2.37699337455836,4.95039914568538,13.1214956168833
"lambda[19]",0.013586271825,0.01371575,0.000859957779762712,0.00125731893,0.0124753,0.014670915,3.16028605692535,4.52672860160925,13.9489744737023
"lambda[20]",0.013460660925,0.0134748,0.00114124926840012,0.00115316628,0.011772795,0.015175705,3.48317778444311,4.42048258040726,10.9783096454192
"lambda[21]",0.01428159755,0.01438695,0.00046207116156885,0.000612980970000001,0.013545485,0.0148136,2.30291524881452,5.09443940168838,11.271224981121
"beta_raw[1,1]",-1.07061858475,-0.9198875,0.445455046918566,0.3420039441,-1.8843235,-0.60602395,3.16822673123939,4.66028035927143,16.473821349717
"beta_raw[2,1]",-1.8096991625,-1.925405,0.340515627083318,0.315823452,-2.1735405,-1.27114,3.08794684742413,4.51887973143933,15.8799937151979
"beta_raw[1,2]",1.079781683,1.03263,0.999398448242215,0.9256642752,-0.3167109,2.553641,3.64710803312579,4.37110700181082,11.2502891623045
