time;L_T;MB_DMM;MB_instant_DMM;MB_BDMM;Lambda
59;1,02;23,79861621;39,77075199;31,05260978;0,08
72;0,26;29,70322446;28,69238154;32,84581131;0,08
84;0,24;15,32760932;11,79683197;29,44752659;0,08
123;0,78;9,090909091;27,12737315;10,87317056;0,08
140;0,34;19,61641337;31,17552502;31,75940398;0,08
291;3,02;44,82342634;33,21465162;20,53204504;0,08
344;1,06;13,02884248;5,454545455;17,9695018;0,08
462;2,36;7,667238921;20,23741858;9,326907317;0,08
471;0,18;11,76222608;7,384047087;2,229829329;0,08
