"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[17",1.21895326075,3.5021106625,1.21442,3.504455,0.174251959174984,0.199962057426249,0.177785979,0.200121348,0.94399805,3.1757715,1.5110585,3.8278725,59.0141483119735
"y_fit[18",1.218949047,3.50212528,1.21442,3.50447,0.174251070832818,0.19996034789116,0.177785979,0.200128761,0.94399505,3.175782,1.511058,3.8278825,59.0147688656719
"y_fit[19",1.21894882075,3.5021261775,1.21442,3.50447,0.174251020383718,0.199960302023951,0.177785979,0.200128761,0.94399505,3.175782,1.511058,3.8278825,59.0148062212951
"y_fit[20",1.218918202,3.5022329425,1.214375,3.504595,0.174243986017639,0.199947713133118,0.177778566,0.200136174,0.9439752,3.175884,1.5110285,3.82799,59.0193608947098
"y_fit[21",1.31279824875,3.6140055,1.30893,3.615025,0.151730866741017,0.166688729083285,0.154509159,0.168208383,1.069347,3.3414595,1.567198,3.887982,72.0009000563854
"y_fit[22",1.3128197105,3.614003005,1.30895,3.61502,0.151728546862754,0.166685715230446,0.154501746,0.168200969999999,1.069367,3.3414595,1.567208,3.8879725,72.0022190744849
"y_fit[23",1.312826463,3.6140020475,1.308955,3.61502,0.151727786090734,0.166684726707074,0.154509159,0.168193556999999,1.069377,3.3414595,1.567218,3.8879725,72.0026357555529
"y_fit[24",1.31283814925,3.614000685,1.308965,3.61502,0.151726573179805,0.166683173778237,0.154501746,0.168193556999999,1.069387,3.34146,1.567228,3.8879625,72.0033556684339
"y_fit[25",1.31287065325,3.613996645,1.308995,3.61501,0.151723057199446,0.166678775553305,0.154501746,0.16820097,1.0694265,3.34146,1.5672485,3.8879625,72.0053599440586
"y_fit[26",1.3128929,3.61399389,1.309015,3.61501,0.151720566646648,0.166675679882921,0.154494333,0.168186144,1.069447,3.3414605,1.5672685,3.887953,72.006728564282
"y_fit[27",1.3128980745,3.6139932975,1.309015,3.61501,0.151720171071319,0.166675051937103,0.15448692,0.168178731,1.0694565,3.3414605,1.5672685,3.887953,72.0070502640354
"y_fit[28",1.31296228675,3.6139855025,1.30907,3.615005,0.15171317834504,0.166665977196566,0.154472094,0.168163905,1.0695265,3.341461,1.567319,3.8879335,72.0110078242375
"y_fit[29",1.31306587825,3.6139730225,1.30916,3.61499,0.151702022847103,0.16665167362532,0.154449855,0.168141666000001,1.0696365,3.341462,1.5673895,3.887904,72.0174026709376
"y_fit[30",1.3131077075,3.6139679975,1.309195,3.61498,0.151697545547239,0.166645924064517,0.154435029,0.168134253,1.0696765,3.3414625,1.56742,3.8878845,72.0199861455429
"y_fit[31",1.2337573,3.8582766525,1.233965,3.860025,0.139654905440254,0.145849527581659,0.142863336,0.146199186,1.005027,3.6176695,1.4689915,4.097372,84.0029556164704
"y_fit[32",1.23372604875,3.85832485,1.233935,3.860075,0.13965443125774,0.145848075385316,0.142870749,0.14618436,1.004997,3.61772,1.4689625,4.097422,84.0042932045832
"y_fit[33",1.233662841,3.85842239,1.23387,3.860175,0.139653484485816,0.14584508185816,0.142863336,0.146169534,1.004928,3.61783,1.4688835,4.097513,84.0069981446862
"y_fit[34",1.23349838125,3.8586759925,1.233705,3.86044,0.139650894053174,0.145837239480936,0.142841097,0.146125056,1.0047595,3.6181105,1.4686935,4.0977545,84.014031832288
"y_fit[35",1.23346566925,3.8587265,1.233665,3.860495,0.13965047176294,0.145835832528094,0.142826271,0.146117643,1.0047385,3.6181705,1.4686535,4.0978045,84.0154358245712
"y_fit[36",1.233460422,3.85873437,1.233665,3.860505,0.139650463498064,0.145835519362328,0.142826271,0.146117643,1.0047385,3.6181805,1.468653,4.0978145,84.0156557666557
"y_fit[37",1.23341274475,3.8588081925,1.233605,3.860585,0.139649663011231,0.145833318633856,0.142811445,0.146102817,1.004698,3.618261,1.4685935,4.097885,84.0177000692207
"y_fit[38",1.23340150325,3.8588253725,1.23359,3.860595,0.139649501992899,0.145832818731471,0.142804032,0.146102817,1.0046875,3.618281,1.4685835,4.097905,84.0181806036737
"y_fit[39",1.23337921025,3.8588596975,1.233565,3.86063,0.139649161145222,0.145831685197132,0.142789206,0.146102817,1.0046675,3.618321,1.4685535,4.097935,84.0191306448961
"y_fit[40",1.23336714025,3.8588785025,1.23355,3.86065,0.139648981792659,0.145831163072621,0.142796619,0.146095404,1.0046575,3.618341,1.4685435,4.097955,84.0196492642863
"y_fit[41",0.548230246165,4.419295715,0.552903,4.416605,0.17191294490791,0.180641301969769,0.1709178345,0.177200351999999,0.25204495,4.1270995,0.8260965,4.7229405,123.000395647935
"y_fit[42",0.5482268543575,4.4192964875,0.5529005,4.416605,0.17191329389706,0.180641654804062,0.1709170932,0.177200351999999,0.25204095,4.1270995,0.82609345,4.7229405,123.000592369041
"y_fit[43",0.5482063071925,4.4193009475,0.552882,4.41661,0.171915342474284,0.180644217028705,0.1709170932,0.177192939,0.25201495,4.1270995,0.82607355,4.7229505,123.001783279777
"y_fit[44",0.5480730829575,4.4193301725,0.552764,4.416635,0.17192871082609,0.180660345470725,0.170914128,0.177185526000001,0.25184895,4.127079,0.8259488,4.72302,123.009505288415
"y_fit[45",0.5480479092725,4.419335665,0.552742,4.41664,0.171931219879806,0.180663341019159,0.1709133867,0.177192939,0.251817,4.127079,0.82592485,4.72303,123.010963917822
"y_fit[46",0.5479998796875,4.4193461725,0.5526995,4.41665,0.171936014888836,0.180669287659527,0.1709126454,0.177200351999999,0.251757,4.127069,0.82587995,4.72306,123.013747212733
"y_fit[47",0.5479858514875,4.419349285,0.5526865,4.41665,0.171937436527469,0.180670965278493,0.1709156106,0.177200351999999,0.25173995,4.127069,0.825866,4.7230605,123.014560554833
"y_fit[48",0.54797300674,4.419352085,0.552675,4.41665,0.171938719400668,0.180672560622368,0.1709185758,0.177192939,0.251723,4.1270685,0.82585405,4.72307,123.015305171711
"y_fit[49",0.5479703966875,4.4193526475,0.552673,4.41665,0.171938990084859,0.180672857181277,0.1709200584,0.177192939,0.25172,4.1270685,0.825852,4.72307,123.015456687841
"y_fit[50",0.5479445296175,4.4193583375,0.55265,4.416655,0.171941563914656,0.180676018984175,0.1709267301,0.177200352000001,0.251688,4.1270685,0.8258271,4.7230805,123.016955898455
"y_fit[51",0.2685158042335,4.40293278,0.2718035,4.39954,0.204864232074338,0.208705322840044,0.2051636706,0.206570658,-0.08103769,4.064433,0.594677,4.7492725,140.001651279414
"y_fit[52",0.268497176655225,4.40292776,0.2717845,4.399535,0.204866557221861,0.208706670145621,0.2051651532,0.206570658,-0.081060045,4.064423,0.594663,4.7492625,140.002789273662
"y_fit[53",0.26848558579445,4.4029246725,0.2717725,4.39953,0.204868005124054,0.208707582142345,0.2051666358,0.206578070999999,-0.081073925,4.0644225,0.59465405,4.7492625,140.003497369005
"y_fit[54",0.268458245351925,4.402917215,0.2717445,4.399525,0.204871432684084,0.208709689947456,0.205169601,0.206578070999999,-0.08110676,4.0644125,0.59463305,4.7492525,140.005168810971
"y_fit[55",0.26840424332755,4.40290273,0.2716925,4.39951,0.20487817687201,0.208713781217879,0.2051807205,0.206585484,-0.08117154,4.064392,0.5945921,4.7492415,140.008468319592
"y_fit[56",0.2683732005542,4.4028943875,0.271663,4.3995,0.204882076559034,0.208716149340135,0.2051896161,0.206592897,-0.08120877,4.064382,0.5945681,4.7492315,140.010365999076
"y_fit[57",0.2683150434195,4.4028788275,0.271608,4.399485,0.20488935288546,0.20872067691497,0.2051881335,0.20660031,-0.08127864,4.0643615,0.59452415,4.7492115,140.013920860938
"y_fit[58",0.26827831793925,4.4028688575,0.271573,4.39948,0.204893936879899,0.208723460187943,0.2051888748,0.206592896999999,-0.081322755,4.064351,0.59449615,4.749201,140.016165980734
"y_fit[59",0.26824051353315,4.40285862,0.271537,4.399465,0.204898669188309,0.208726427424684,0.2051873922,0.206615136000001,-0.08136807,4.064331,0.5944672,4.749191,140.01847773693
"y_fit[60",0.26822548390255,4.40285453,0.271523,4.39946,0.204900551222517,0.208727563622496,0.2051873922,0.206622549,-0.081386135,4.0643305,0.5944562,4.749181,140.019396180147
"y_fit[61",-1.512747067,4.3090504325,-1.517465,4.31509,0.21264302033752,0.215181503231391,0.208060671,0.216348405000001,-1.857666,3.954076,-1.152786,4.651162,291.00549888669
"y_fit[62",-1.512757745,4.309057055,-1.51748,4.315095,0.212642220440605,0.215180861348656,0.208060671,0.216340992000001,-1.8576665,3.9540855,-1.152796,4.651172,291.006626037494
"y_fit[63",-1.512762329,4.30905994,-1.517485,4.3151,0.21264169633445,0.215180672897901,0.208053258,0.216348405000001,-1.8576765,3.954095,-1.1527965,4.651172,291.007120518251
"y_fit[64",-1.5127689485,4.3090640875,-1.51749,4.315105,0.212641335651738,0.215180244754718,0.208053258,0.216340992,-1.857677,3.9540955,-1.1528065,4.6511815,291.007820530119
"y_fit[65",-1.5128135585,4.3090918725,-1.51754,4.31513,0.21263789445659,0.215177761864276,0.208053258,0.216340992,-1.857699,3.9541435,-1.152847,4.6512105,291.012556809471
"y_fit[66",-1.51283008575,4.3091020475,-1.51756,4.315145,0.212636667145067,0.215176894308018,0.208060671,0.216333579,-1.85771,3.9541535,-1.152867,4.65123,291.014299921133
"y_fit[67",-1.512846195,4.30911192,-1.517575,4.315155,0.212635532800077,0.215176019055,0.208053258,0.216326166,-1.8577205,3.954173,-1.1528775,4.6512305,291.016002366999
"y_fit[68",-1.51286112725,4.30912136,-1.517595,4.315165,0.2126343781673,0.215175045762235,0.208053258,0.216326166,-1.857731,3.9541825,-1.1528975,4.651231,291.017597879376
