"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[15",-16.149741345,11.61455059125,-16.1502905,11.61517,0.298568588700306,0.142880043561892,0.295035176099999,0.141288073499999,-16.6366929,11.37840285,-15.6480838,11.84513135,93.0028916452546
"y_fit[16",-16.1497450385,11.61455012125,-16.150296,11.6151715,0.298568524923784,0.142879938099405,0.295031469599999,0.141288814799998,-16.63669405,11.37840185,-15.6480839,11.84512375,93.0029373085732
"y_fit[17",-16.1498615195,11.6145349055,-16.1504545,11.615204,0.298566296525334,0.142876500441984,0.295042589100004,0.1412851083,-16.6367282,11.3783646,-15.64809385,11.84498775,93.0043412893079
"y_fit[18",-16.1498770125,11.6145328535,-16.1504675,11.6152085,0.298565966913629,0.142876053830045,0.295035917399997,0.1412851083,-16.6367337,11.3783596,-15.6480951,11.8449831,93.0045223700767
"y_fit[19",-16.1498951725,11.61453042925,-16.1504825,11.6152135,0.298565581887903,0.142875514863851,0.295028504399999,0.1412932626,-16.6367393,11.37835355,-15.6480974,11.84497845,93.0047332231607
"y_fit[20",-16.150053496,11.61450888125,-16.1506175,11.615266,0.298561874368879,0.142870971808937,0.295160455799999,0.141324397200001,-16.6367917,11.3783095,-15.6481122,11.8449333,93.0065073567536
"y_fit[21",-16.1501636305,11.61449354875,-16.1507115,11.6152335,0.298558859517475,0.142867845007897,0.295034434799999,0.1413369993,-16.63683135,11.37828515,-15.6481232,11.8449011,93.0076799306786
"y_fit[22",-16.1501650035,11.6144933645,-16.1507125,11.6152325,0.298558818290749,0.142867818400918,0.295032210899998,0.141339223199999,-16.6368314,11.3782852,-15.64812325,11.8449001,93.0076943184389
"y_fit[23",-16.1501653575,11.6144933085,-16.150713,11.6152325,0.29855880893981,0.142867800262429,0.295030728300001,0.141339223199999,-16.6368314,11.3782843,-15.64812325,11.84490005,93.0076980364602
"y_fit[24",-16.15021304575,11.614486577,-16.1507535,11.615218,0.298557336874006,0.142866448091141,0.295006265400001,0.141378512100002,-16.6368499,11.37827455,-15.64812815,11.84488405,93.0081913852273
"y_fit[25",-16.1502143365,11.6144863905,-16.150755,11.615218,0.29855729886384,0.142866409410575,0.295007748,0.141379253399999,-16.63685,11.3782737,-15.6481282,11.84488395,93.0082045434788
"y_fit[26",-16.1503651155,11.61446455475,-16.1508845,11.615199,0.298552089024703,0.142862357409983,0.2949328767,0.141383701199998,-16.6371529,11.37824215,-15.6481441,11.8448326,93.0097119124467
"y_fit[27",-16.15052907975,11.61444026175,-16.150993,11.6151685,0.29854594154801,0.142858304614245,0.294917309399999,0.141355531800001,-16.63788605,11.37829145,-15.6481623,11.84477675,93.0112698217761
"y_fit[28",-16.15065275025,11.61442158725,-16.151006,11.615129,0.298540920301164,0.142855283237697,0.295016643599997,0.1414311444,-16.63803195,11.37842285,-15.6482092,11.8447346,93.0123953409167
"y_fit[29",-16.15068860425,11.61441612875,-16.1510105,11.615104,0.298539404546612,0.142854391943971,0.295084843200001,0.141458572499999,-16.63807435,11.37846135,-15.64822645,11.84472215,93.0127142568492
"y_fit[30",-16.1508452325,11.61439193975,-16.1510315,11.614997,0.298532494184227,0.142850552574291,0.2951604558,0.141566061,-16.63824935,11.37862945,-15.64830665,11.84466965,93.0140715688327
"y_fit[31",-16.15092650375,11.614379236,-16.151143,11.614942,0.298528769489506,0.142848607523375,0.295293889800001,0.141554200199998,-16.63833125,11.3787168,-15.64834915,11.8446423,93.0147542580822
"y_fit[32",-16.15105472025,11.61435900225,-16.1513395,11.6148775,0.298522799142148,0.142845523369481,0.2955029364,0.1416060912,-16.6384601,11.37885585,-15.6484179,11.8446,93.0158030168992
"y_fit[33",-16.151187351,11.61433776225,-16.151603,11.6148615,0.298516506887549,0.142842335439651,0.295450304099999,0.1416616887,-16.63859285,11.37900055,-15.64849145,11.8445484,93.0168540359614
"y_fit[34",-16.15127708475,11.61432325925,-16.151779,11.6148495,0.298512139316872,0.142840181407809,0.2954606823,0.141609056399999,-16.6386836,11.37909835,-15.64854855,11.84445305,93.0175471439073
"y_fit[35",-16.151301878,11.614319227,-16.1518275,11.614846,0.29851091248957,0.142839583733168,0.295462906199999,0.141594971699999,-16.6387085,11.37911705,-15.6485673,11.844427,93.0177361314557
"y_fit[36",-16.151303301,11.61431900225,-16.15183,11.614846,0.298510846832298,0.142839549291914,0.295463647499999,0.1415942304,-16.63870955,11.37911895,-15.6485683,11.8444251,93.0177469351236
