"X1.lambda.1.";"X2.lambda.1.";"X3.lambda.1.";"X4.lambda.1.";"X1.lambda.2.";"X2.lambda.2.";"X3.lambda.2.";"X4.lambda.2.";"X1.lambda.3.";"X2.lambda.3.";"X3.lambda.3.";"X4.lambda.3.";"X1.lambda.4.";"X2.lambda.4.";"X3.lambda.4.";"X4.lambda.4.";"X1.lambda.5.";"X2.lambda.5.";"X3.lambda.5.";"X4.lambda.5.";"X1.lambda.6.";"X2.lambda.6.";"X3.lambda.6.";"X4.lambda.6.";"X1.lambda.7.";"X2.lambda.7.";"X3.lambda.7.";"X4.lambda.7.";"X1.lambda.8.";"X2.lambda.8.";"X3.lambda.8.";"X4.lambda.8.";"X1.lambda.9.";"X2.lambda.9.";"X3.lambda.9.";"X4.lambda.9.";"X1.lambda.10.";"X2.lambda.10.";"X3.lambda.10.";"X4.lambda.10.";"X1.lambda.11.";"X2.lambda.11.";"X3.lambda.11.";"X4.lambda.11.";"X1.lambda.12.";"X2.lambda.12.";"X3.lambda.12.";"X4.lambda.12.";"X1.lambda.13.";"X2.lambda.13.";"X3.lambda.13.";"X4.lambda.13.";"X1.lambda.14.";"X2.lambda.14.";"X3.lambda.14.";"X4.lambda.14.";"X1.lambda.15.";"X2.lambda.15.";"X3.lambda.15.";"X4.lambda.15.";"X1.lambda.16.";"X2.lambda.16.";"X3.lambda.16.";"X4.lambda.16.";"X1.lambda.17.";"X2.lambda.17.";"X3.lambda.17.";"X4.lambda.17.";"X1.lambda.18.";"X2.lambda.18.";"X3.lambda.18.";"X4.lambda.18.";"X1.lambda.19.";"X2.lambda.19.";"X3.lambda.19.";"X4.lambda.19.";"X1.lambda.20.";"X2.lambda.20.";"X3.lambda.20.";"X4.lambda.20.";"X1.lambda.21.";"X2.lambda.21.";"X3.lambda.21.";"X4.lambda.21."
0,0249426;0,0256438;0,0276223;0,0264852;0,0284877;0,0267143;0,0270569;0,0262163;0,0259102;0,0265585;0,0256892;0,0270633;0,0187464;0,0184656;0,0209119;0,0187168;0,0180645;0,01918;0,0186877;0,0186018;0,019664;0,0195235;0,019372;0,0183238;0,0102704;0,0121008;0,0122416;0,00930978;0,0108202;0,0110961;0,0109771;0,0104248;0,010788;0,0108419;0,010589;0,0112167;0,00332105;0,00541605;0,00293696;0,00355708;0,0041623;0,00449109;0,00348505;0,0039173;0,00699624;0,0043515;0,00323065;0,00435839;0,0080934;0,0100964;0,00803381;0,00768966;0,0089035;0,0103783;0,00844591;0,00891909;0,00952098;0,00930909;0,0100206;0,0072681;0,0116267;0,0141907;0,0140602;0,0139879;0,0132188;0,0126541;0,0145077;0,0130116;0,0149382;0,0137263;0,0148888;0,0135762;0,0139652;0,0152739;0,0139425;0,0144605;0,0128435;0,0135034;0,0134906;0,0135097;0,0131227;0,0159985;0,0149184;0,015033
0,0268777;0,0271278;0,0267229;0,0260872;0,0270424;0,0251154;0,0266418;0,0260169;0,0269343;0,0260882;0,025926;0,0269437;0,0182966;0,0195406;0,0183723;0,0185594;0,0181271;0,020274;0,0192881;0,0191278;0,0202229;0,0197487;0,0202639;0,0191633;0,00949578;0,0111187;0,00930715;0,0135764;0,0129601;0,00984911;0,0121271;0,0105807;0,0083157;0,0102861;0,00983989;0,0132327;0,00496397;0,00796282;0,00656652;0,00414697;0,0049223;0,00464162;0,00450851;0,00386945;0,00335002;0,0036762;0,00236646;0,00474665;0,00839583;0,00854379;0,00844879;0,0101874;0,00793064;0,00986528;0,0102351;0,00941211;0,00957359;0,00873362;0,0101606;0,00913556;0,0126476;0,0129363;0,0130827;0,0133862;0,0144019;0,0138983;0,0126346;0,0144962;0,0146271;0,0142517;0,0144755;0,0149955;0,0140886;0,0148054;0,012637;0,0131104;0,0134113;0,0132113;0,015602;0,0157621;0,0152846;0,0141941;0,0134129;0,0122785
0,0256858;0,0262863;0,0263835;0,0261825;0,0269637;0,0274767;0,0282896;0,0264672;0,0277657;0,0259409;0,027674;0,0268561;0,0179386;0,019585;0,0198216;0,0189344;0,020007;0,0187547;0,0202612;0,0202158;0,0178749;0,020102;0,0180475;0,0196749;0,00998157;0,0112;0,0103296;0,0105784;0,0105505;0,0107783;0,0100337;0,0115034;0,00993205;0,0107527;0,0104052;0,008367;0,00357009;0,00386201;0,00349039;0,00487696;0,00360813;0,00447823;0,00264479;0,00550864;0,00368341;0,00314839;0,00404157;0,00411556;0,00878431;0,00874447;0,00757515;0,00963711;0,00996993;0,00840691;0,00899966;0,00959186;0,0110435;0,00812012;0,00755865;0,00983879;0,013004;0,0138094;0,0126262;0,0132974;0,0130564;0,0145587;0,0139764;0,0119515;0,0137553;0,0141556;0,0147764;0,014484;0,0156896;0,0127412;0,0147945;0,0155443;0,0139242;0,0141089;0,0138736;0,0139286;0,013012;0,0131116;0,0131873;0,0136296
0,0247779;0,0265715;0,0280791;0,0273311;0,0269697;0,0254372;0,0253946;0,0277985;0,0283828;0,0278774;0,0280065;0,0259909;0,0199403;0,0192124;0,0181698;0,0188487;0,0194767;0,019481;0,0172698;0,0185399;0,019542;0,0208548;0,019151;0,0201066;0,0122249;0,00986378;0,0110131;0,0100705;0,0112629;0,011523;0,0133108;0,0119121;0,00993488;0,010726;0,0101903;0,0076392;0,00336485;0,00326867;0,00509477;0,0034747;0,00504023;0,00514988;0,00463293;0,00656704;0,00311471;0,00446855;0,00213423;0,00232145;0,0102637;0,00843593;0,00905538;0,00769574;0,00768008;0,00731014;0,00830858;0,00783541;0,0102383;0,00857888;0,00781356;0,00836755;0,013103;0,0136801;0,0137321;0,0158183;0,0124811;0,0137785;0,014345;0,0122616;0,0139244;0,0138552;0,0137353;0,0159111;0,0153497;0,0147491;0,0118909;0,0139687;0,013009;0,0140682;0,0159454;0,0123667;0,0125246;0,014506;0,0123953;0,0128902
0,0266133;0,0265707;0,0258238;0,0290537;0,0277255;0,0268687;0,0249789;0,0268621;0,0263911;0,0282824;0,0278117;0,0273222;0,0187741;0,0171519;0,0195994;0,0182535;0,0192298;0,0181928;0,0176804;0,0192015;0,0205413;0,018693;0,0191632;0,0192048;0,0115632;0,011613;0,0121842;0,0110001;0,0136736;0,0111431;0,0103224;0,0114193;0,0103863;0,0108428;0,00974148;0,0105465;0,00502763;0,00457071;0,00523965;0,00429911;0,00443183;0,00391148;0,00292786;0,00388222;0,00496469;0,00319529;0,00297129;0,00407305;0,0111538;0,0103334;0,00742187;0,00937833;0,0110172;0,00924255;0,010139;0,00870518;0,00926893;0,00956981;0,00974448;0,0103165;0,0136798;0,0145737;0,0145137;0,0147834;0,0130573;0,013192;0,0149618;0,0120146;0,0139405;0,013737;0,0151072;0,0162962;0,0141188;0,0140851;0,0138238;0,0159839;0,0145007;0,0132736;0,0148154;0,0139186;0,0147817;0,013701;0,0136047;0,0145378
0,0272456;0,0263073;0,0272617;0,0258906;0,0266186;0,0264752;0,028353;0,0250563;0,0276718;0,0265129;0,0264963;0,0270591;0,0207789;0,0177822;0,0187089;0,0187101;0,0177416;0,0167738;0,0192465;0,0203058;0,0181021;0,019442;0,0191824;0,0184503;0,010894;0,0114566;0,0113692;0,0108689;0,0103868;0,0107264;0,0118818;0,0105674;0,0103172;0,0114379;0,011879;0,0116645;0,00309917;0,00341134;0,00295979;0,00441915;0,0033152;0,00438025;0,00368907;0,00441434;0,0022822;0,00417853;0,00296608;0,00339522;0,00844436;0,0102889;0,00919036;0,00802476;0,0093365;0,00944566;0,00975399;0,00740284;0,00976403;0,0107978;0,00839695;0,0079648;0,0141243;0,0141556;0,0132213;0,0122601;0,0130744;0,0139716;0,0145094;0,0125342;0,0137183;0,0144094;0,012538;0,0142151;0,0123889;0,014842;0,0131641;0,0136403;0,0151961;0,0139944;0,0148506;0,0124443;0,0141677;0,0128273;0,0148442;0,0146235
0,0273783;0,0292023;0,0281271;0,0262492;0,0265004;0,0272125;0,025595;0,0257033;0,0273896;0,0270097;0,0268407;0,0257743;0,0189297;0,0187676;0,0193949;0,019116;0,0195291;0,0203777;0,0196668;0,0190137;0,0193132;0,0186306;0,0207865;0,0173564;0,00994602;0,0122422;0,012818;0,0109419;0,0111154;0,0119479;0,0113864;0,0100894;0,00970187;0,00922597;0,0114318;0,0116229;0,0025788;0,00415556;0,00697976;0,00414551;0,00253342;0,00227514;0,00316578;0,00338257;0,00305071;0,00338272;0,00357925;0,00286756;0,00773285;0,00847555;0,00973042;0,00876829;0,00937765;0,0081384;0,0109184;0,00941075;0,00907797;0,00719045;0,00891944;0,00733928;0,0139712;0,013398;0,0136495;0,0117;0,0122075;0,0150749;0,0131546;0,0143542;0,0143455;0,0132769;0,0139545;0,0155225;0,0131912;0,0125141;0,0134836;0,0137893;0,0148506;0,0131971;0,0136266;0,0157478;0,0140041;0,0123885;0,0160602;0,0119832
0,0258059;0,025401;0,0260085;0,0253934;0,0270617;0,0272229;0,0278701;0,0262488;0,0265417;0,0274402;0,0255834;0,0255906;0,0193144;0,0194893;0,0184719;0,0183125;0,0188262;0,0211328;0,0178689;0,0181256;0,0198833;0,018498;0,017611;0,0187261;0,0102975;0,0106451;0,0105049;0,0110006;0,0103123;0,0114338;0,011752;0,0123189;0,0131503;0,0120744;0,00997689;0,0101184;0,00438804;0,00411409;0,00282253;0,00252599;0,0053998;0,00395626;0,00517851;0,00492019;0,00470986;0,00307585;0,00408489;0,0032706;0,00854305;0,0072238;0,00912194;0,00697292;0,00824554;0,0105587;0,00849002;0,0097614;0,00891262;0,00821251;0,00899461;0,00754902;0,0141301;0,0127276;0,0128638;0,0121262;0,0139422;0,0145796;0,0146465;0,0150175;0,0146005;0,0132944;0,0150689;0,0149821;0,0150357;0,0137543;0,0150159;0,0143386;0,0138293;0,0154772;0,015545;0,0139561;0,0142351;0,0140659;0,0123943;0,0141937
0,0269949;0,0284226;0,0271543;0,0264704;0,0277215;0,0261359;0,0283264;0,0256036;0,0267698;0,0256555;0,0268237;0,0262377;0,0188165;0,0185013;0,0181189;0,0193076;0,0190293;0,0198891;0,0195691;0,0197158;0,018268;0,018978;0,0193423;0,0187846;0,0111796;0,00993814;0,0123877;0,0106255;0,0104505;0,00984809;0,0117638;0,0110959;0,0120375;0,00974953;0,0106856;0,0109577;0,00368235;0,00465045;0,00384338;0,00659183;0,00686744;0,00287849;0,00304985;0,00477913;0,00417126;0,0030381;0,00489674;0,00282069;0,00768598;0,00891016;0,0090022;0,00911411;0,00832896;0,0101634;0,00901925;0,00948307;0,00957084;0,00958907;0,0107097;0,0098598;0,0136718;0,0138786;0,0123547;0,0149216;0,0139535;0,0124737;0,0132033;0,0154584;0,0145949;0,0134815;0,0167221;0,0128754;0,0136859;0,0142997;0,0143652;0,014962;0,0126329;0,0124771;0,0144279;0,0149743;0,0148122;0,0141041;0,0148312;0,0150032
0,0259484;0,0275401;0,0292074;0,027189;0,0262226;0,0277671;0,027445;0,0270596;0,0263538;0,0276857;0,027496;0,028048;0,0167114;0,0194711;0,0190011;0,0190126;0,0197336;0,0178684;0,0189867;0,0196104;0,0193939;0,0193495;0,0198053;0,0201218;0,0112027;0,011282;0,00992139;0,011418;0,0111667;0,0110114;0,00986386;0,0101866;0,0114863;0,0124412;0,0122895;0,0107064;0,0039413;0,00428345;0,00369258;0,00333733;0,00180136;0,00300342;0,00441453;0,00292236;0,00505948;0,0029833;0,00247935;0,00474121;0,00774934;0,00844303;0,00913164;0,00927428;0,00887371;0,0114838;0,0110241;0,00893796;0,00948055;0,0091779;0,00953083;0,00875618;0,0147439;0,0129258;0,0142599;0,013181;0,0153155;0,013102;0,0124785;0,0124459;0,0156003;0,0151259;0,0144919;0,0164411;0,0152325;0,0152724;0,0143935;0,0131983;0,0159471;0,0128246;0,0148632;0,0139299;0,01443;0,0132156;0,0149022;0,0137812
