"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",4.6256036225,9.387169725,4.631875,9.397,0.249951410998053,0.329889581061372,0.233657760000001,0.318677457,4.205966,8.831142,5.0425045,9.9377355,8.00363892359193
"y_fit[2",4.62513275,9.386093975,4.6314,9.39589,0.249916732489407,0.329844609905817,0.233635521,0.318647805,4.2055645,8.8301105,5.0419575,9.936673,8.0043300397601
"y_fit[3",4.623446585,9.38224233,4.629595,9.39181,0.249792747939204,0.329683610192983,0.233561391,0.318492132000001,4.204073,8.826434,5.04,9.932853,8.00680545093026
"y_fit[4",4.6226013425,9.380311275,4.62879,9.389835,0.249730468910881,0.329602856466342,0.23358363,0.318499545,4.203284,8.8245815,5.039016,9.930912,8.00804682318121
"y_fit[5",4.6219998925,9.378937565,4.62822,9.388375,0.249686215859749,0.329545458314091,0.233598456,0.318566262,4.202725,8.823269,5.03832,9.9294855,8.00893023177516
"y_fit[6",4.6214244375,9.37762275,4.62766,9.38699,0.249643965741496,0.329490346436866,0.233620694999999,0.318655218,4.202186,8.822017,5.0376445,9.9282045,8.00977586700115
"y_fit[7",4.6177389925,9.36920426,4.62413,9.378265,0.249373074361215,0.329139769516951,0.233553978,0.318151134,4.1987595,8.8138405,5.033361,9.9196095,8.01519392075017
"y_fit[8",4.6158722525,9.364940185,4.622265,9.37381,0.24923606619142,0.328961884510396,0.233509500000001,0.317906504999999,4.1970285,8.8096025,5.0311945,9.9149795,8.01794047504663
"y_fit[9",4.6156022325,9.364323305,4.62197,9.37316,0.249216301676669,0.328935986399123,0.233472435,0.317899091999999,4.19678,8.8089925,5.030905,9.914337,8.01833788255695
"y_fit[10",4.614738775,9.362350675,4.621045,9.37112,0.249152860177709,0.328853782702501,0.233413131,0.317876853,4.195984,8.8070335,5.030022,9.9122795,8.01960909309331
"y_fit[11",1.20586247275,3.45369207,1.203485,3.45445,0.177721709334498,0.234766541182149,0.179402013,0.231619185,0.92108815,3.0648585,1.50029,3.8303885,59.0017842226801
"y_fit[12",1.205862304,3.4537020675,1.203485,3.45446,0.177721049985219,0.234765484605043,0.179402013,0.231619185,0.92108915,3.0648685,1.50029,3.8303985,59.0020769131649
"y_fit[13",1.20586127375,3.45380956,1.20349,3.45457,0.177714232034068,0.234755001719803,0.1793946,0.231604359,0.921094,3.0649975,1.5002705,3.830498,59.0052113368548
