"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0794928;0,0789642;0,0785529;0,0792183
0,0798261;0,0811782;0,0811796;0,0815121
0,078627;0,078756;0,0786964;0,0795973
0,0787358;0,0800896;0,080591;0,0806433
0,081158;0,0806225;0,0809836;0,0790168
0,0788818;0,0804236;0,078448;0,0799863
0,0802753;0,0803349;0,0804006;0,0794236
0,0799098;0,0791764;0,080666;0,0796793
0,08004;0,0768044;0,080412;0,0809262
0,0805661;0,0777716;0,0815992;0,0792813
0,0780749;0,0807123;0,0802419;0,0811982
0,0811229;0,0797014;0,080095;0,0784886
0,0788719;0,0802761;0,080807;0,0818688
0,0810695;0,0803016;0,0788116;0,0778647
0,0790774;0,07985;0,0797818;0,0819114
0,0797653;0,0805067;0,0782232;0,0806493
0,0790681;0,0803185;0,081708;0,0786149
0,0802499;0,0792433;0,0781229;0,0816529
0,0787932;0,0806131;0,0818775;0,0784697
0,0793633;0,0791407;0,0798981;0,0817593
0,0799295;0,0794025;0,079914;0,0781487
0,0799922;0,0804516;0,0803577;0,0821428
0,0798959;0,0792953;0,0796546;0,078088
0,0810996;0,078273;0,0799911;0,081878
0,0785202;0,0815971;0,0790498;0,079538
0,0809313;0,0795434;0,0805666;0,0807392
0,0799192;0,0804354;0,0808832;0,0795054
0,0788679;0,0798082;0,0801116;0,0814124
0,0790741;0,0813519;0,0798039;0,0781945
0,079214;0,0784377;0,0805058;0,0805584
0,0803884;0,0819212;0,0804662;0,0793333
0,0793558;0,0782295;0,0795039;0,0788412
0,0806793;0,0817393;0,0793932;0,0814697
0,0785417;0,0792378;0,0787454;0,0786286
0,0814798;0,0794243;0,0812203;0,080019
0,0805077;0,0804809;0,0791466;0,0806995
0,0788103;0,0787729;0,0802849;0,0787698
0,0813898;0,0787648;0,0804317;0,0793344
0,0790455;0,0784699;0,079125;0,0805628
0,0793907;0,0813785;0,0811039;0,0799618
0,079989;0,079102;0,0803437;0,0796167
0,0792981;0,0810423;0,0795549;0,0802868
0,0806995;0,0793955;0,080447;0,081711
0,0791958;0,0806215;0,079929;0,0787014
0,0802539;0,0790972;0,0801501;0,082034
0,0791619;0,0798321;0,0809267;0,0788139
0,0786124;0,0824485;0,0790157;0,0806598
0,0818246;0,0802114;0,0818845;0,0809876
0,0812011;0,0794738;0,0796546;0,0792108
0,0788551;0,0798995;0,0801219;0,0808614
0,0804677;0,0800031;0,0800195;0,0794796
0,079609;0,0790276;0,080129;0,08038
0,0798204;0,0809604;0,0791088;0,0804239
0,0813205;0,0816192;0,0793453;0,0791333
0,0792285;0,0802523;0,0786905;0,0800491
0,0803453;0,0796381;0,0785547;0,0794126
0,0792276;0,0802074;0,0796611;0,0818853
0,0810096;0,0789051;0,0804119;0,078009
0,0788786;0,0825235;0,0780268;0,0818257
0,0774053;0,0784539;0,0807938;0,078571
0,0810886;0,0810831;0,0792259;0,0813955
0,081121;0,0783126;0,0805373;0,0785754
0,0784861;0,0783941;0,0798119;0,081174
0,0813039;0,0812054;0,0797631;0,0782291
0,0791295;0,0786392;0,0802275;0,0814526
0,0810442;0,0818216;0,0795695;0,0806397
0,0800833;0,0779744;0,0803497;0,0807336
0,0798866;0,0819961;0,0795308;0,0808432
0,0784285;0,0783271;0,0805223;0,079349
0,0810222;0,0814746;0,079363;0,0790682
0,0808716;0,0797976;0,0794728;0,0809652
0,0790446;0,0815528;0,0804736;0,0811663
0,0784904;0,0782138;0,0794719;0,078683
0,0794722;0,0817606;0,0803435;0,0808029
