"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0219658;0,0192819;0,0199521;0,0225464
0,0211206;0,0213267;0,0200591;0,0196166
0,0229394;0,0189515;0,0191311;0,0223064
0,0194365;0,0215968;0,0209685;0,0213258
0,0224506;0,0201606;0,018536;0,0209196
0,0199252;0,021246;0,0194168;0,0212383
0,0209294;0,0207254;0,0195966;0,021325
0,0198555;0,0216749;0,0194077;0,0221346
0,0209861;0,0216837;0,0216044;0,0199384
0,019734;0,0203085;0,0196602;0,0207557
0,0208928;0,019703;0,0203727;0,0215361
0,0218856;0,0198784;0,0213543;0,0209553
0,0192063;0,0204045;0,0206436;0,0220558
0,0223378;0,0211214;0,0193825;0,0203115
0,0201349;0,0191001;0,0217975;0,021002
0,0209564;0,0207767;0,0196612;0,0208847
0,0193242;0,0208875;0,0197679;0,0207484
0,0221085;0,0204661;0,0204887;0,0195399
0,0206756;0,0222848;0,0208183;0,0222996
0,0218829;0,0212471;0,0206199;0,0217981
0,0201961;0,0208878;0,0203111;0,0217068
0,0214719;0,0201572;0,0210821;0,0237145
0,0207052;0,0202357;0,0199195;0,0226497
0,0213179;0,0204121;0,0211314;0,0214268
0,0207826;0,0214857;0,0213076;0,0207674
0,0206121;0,0230936;0,0214026;0,020861
0,0204045;0,020029;0,0200267;0,0211007
0,0208584;0,02172;0,0201943;0,0209712
0,0212348;0,0220663;0,0213174;0,0210473
0,0192279;0,020452;0,0216203;0,0214692
0,0230827;0,0219297;0,0219184;0,020184
0,0187647;0,0199755;0,0208424;0,0197065
0,0203377;0,0218059;0,0212029;0,0227697
0,0202556;0,0219152;0,019165;0,0208867
0,0207708;0,020591;0,0235402;0,0203994
0,0211003;0,0209084;0,0194303;0,0195695
0,0221202;0,0205019;0,0215797;0,0238422
0,0195505;0,0200979;0,0214847;0,0198681
0,0214211;0,0204318;0,019937;0,0208257
0,0198482;0,0220703;0,0218116;0,0207288
0,0215819;0,019346;0,0183406;0,0206336
0,0212194;0,0211329;0,0221405;0,0216096
0,0204637;0,022523;0,0195263;0,0202137
0,0218363;0,020787;0,019292;0,0207583
0,0207987;0,0210043;0,0210807;0,020183
0,0197723;0,0206736;0,0228447;0,0204589
0,0197906;0,0209368;0,0198224;0,0198201
0,020786;0,0202196;0,0215589;0,0206964
0,0226215;0,0203819;0,021713;0,0185715
0,0201896;0,021026;0,0193282;0,022913
0,0225883;0,0215747;0,0212074;0,0179022
0,0200175;0,0198137;0,0208804;0,0203327
0,0206321;0,0202612;0,0194456;0,0224733
0,0227911;0,0201586;0,0219776;0,0193814
0,0215958;0,0214242;0,0192444;0,0208569
0,0198476;0,0206093;0,0225547;0,0196681
0,0212348;0,0204115;0,0198116;0,0211827
0,0204089;0,0210494;0,0215465;0,0209161
0,0221832;0,0198591;0,0212685;0,0200395
0,0220425;0,0204813;0,0219668;0,0225099
0,0185986;0,0214257;0,0202157;0,0195817
0,0196129;0,0217078;0,0205666;0,021027
0,0248263;0,0203163;0,0204007;0,0208532
0,0223281;0,0211301;0,0205543;0,019716
0,0210169;0,0195228;0,0209523;0,0208461
0,0224529;0,0201947;0,0217066;0,0200847
0,020053;0,0227017;0,0214594;0,0206023
0,0206655;0,0200514;0,0195821;0,0201758
0,0211715;0,0189057;0,0203008;0,0202122
0,0205497;0,0248321;0,0200743;0,0202382
0,0214972;0,021238;0,0205732;0,0205251
0,0183437;0,0198704;0,0203692;0,0204173
0,0212157;0,022913;0,0213661;0,0218717
0,0226358;0,0196569;0,0204966;0,019308
0,0189267;0,0221048;0,0222516;0,0215346
0,0195575;0,0196169;0,0226155;0,0212525
0,0220085;0,0213119;0,0205172;0,0217214
0,0198684;0,0193414;0,0214684;0,0209892
0,0209777;0,0236419;0,0220998;0,0202867
0,0202046;0,019527;0,0215678;0,020601
0,021842;0,0229303;0,0201567;0,0200795
0,0201215;0,0198988;0,0198841;0,0210351
0,0212892;0,0210004;0,0225485;0,0197429
0,0206918;0,0207326;0,0188853;0,0191959
0,0227019;0,0197397;0,0216128;0,0230613
0,0234285;0,021797;0,01863;0,0195939
0,0234342;0,0214567;0,0202107;0,0198467
0,0199552;0,0204133;0,0203517;0,0196226
0,0207557;0,0210557;0,0211676;0,0237407
0,0215269;0,0211935;0,0199216;0,0207348
0,0200197;0,021075;0,0194169;0,0223421
0,023497;0,0193104;0,0212208;0,0207836
0,0221658;0,0225257;0,0207888;0,0207793
0,0200944;0,0196992;0,0230149;0,0195778
0,0187036;0,0210305;0,0232635;0,0216114
0,021291;0,0200943;0,0211801;0,0203503
0,0212641;0,0214623;0,0231602;0,0215669
0,0209875;0,0211174;0,0219372;0,0205692
0,0220851;0,0205941;0,0201585;0,0212559
0,0215814;0,0234042;0,023151;0,0205937
0,0212285;0,019913;0,0222357;0,0202568
0,0219833;0,0195149;0,0189615;0,0209603
0,0191707;0,0207264;0,0206064;0,0220339
0,0232587;0,0203944;0,0206884;0,0196541
0,0196352;0,0221473;0,0195424;0,0201433
